Date the grant was awarded,Time period for which the grant has been given,Local authority department which awarded the grant,Beneficiary,Beneficiary registration number,Summary of the purpose of the grant,Amount
04/12/2015,One-off,Communities Group,Barnardo Services Ltd ,200613,Alterations at Park Lane Children's Centre,"6,950.09"
25/02/2016,One-off,Communities Group,Willow Brooke Day Nursery,206835,Setup of Willow Brooke 2 Nursery,"5,000.00"
30/03/2016,One-off,Communities Group,Jelly Beans Nurture Nursery Ltd,230894,Setup of  Jelly Beans 2016,"4,769.05"
30/04/2015,One-off,Communities Group,The Parenting Project,N/A,Parenting Project,"8,415.00"
21/05/2015,12 months,Communities Group,Live and Local,203641,Support Grant,"13,000.00"
17/08/2015,12 months,Communities Group,The Bridge Pre-School,206072,Payment of Support Grant  2015,"1,835.00"
14/12/2015,1 month,Communities Group,Leam Boat Centre Ltd,229008,Flood management scheme,"3,250.00"
04/09/2015,1 month,Communities Group,"Lapworth Garage, Old Warwick Road, Lapworth",N/A,Flood management scheme,"5,000.00"
16/11/2015,1 month,Communities Group,Roman Motors (Westavon) Ltd.,N/A,Flood management scheme,"2,350.00"
14/12/2015,2 month,Communities Group,REDACTED,N/A,Flood management scheme,528.00
27/03/2015,One-off,Communities Group,Shuttington Parish Council,228744,Refurbishment,"1,400.00"
31/03/2015,12 months,Communities Group,Bedworth Rugby and Nuneaton Cab,200655,Voluntary Sector Support Grant,"23,000.00"
31/03/2015,12 months,Communities Group,North Warwickshire Citizens Advice Bureau,204486,Voluntary Sector Support Grant,"12,000.00"
09/09/2015,6 months,Communities Group,Warwickshire Race Equality Partnership (WREP),206626,Voluntary Sector Support Grant,"34,000.00"
25/02/2016,One-off,Communities Group,Bedworth Armistice Day Parade Ltd,220380,Councillors Grant Award - Armstice Day Parade,"4,000.00"
31/03/2015,12 months,Communities Group,Warwick District Citizens Advice Bureau,N/A,Voluntary Sector Support Grant,"63,000.00"
30/04/2015,One-off,Communities Group,Escape Community Art In Action,202075,Councillors Grant Award - Escape Community Arts - Men in Sheds,500.00
30/06/2015,One-off,Communities Group,Grove Farm Community Association,202458,Councillors Grant Award - Grove Farm Community Association - equipment,800.00
27/05/2015,One-off,Communities Group,Nuneaton & Bedworth Borough Council,204521,Councillors Grant Award - Community project,"2,500.00"
07/07/2015,One-off,Communities Group,Pride In Camp Hill Ltd,204937,Councillors Grant Award - Community project,"4,500.00"
13/05/2015,One-off,Communities Group,The Links Daycare Centre Ltd,206145,Councillors Grant Award - Equipment,"1,800.00"
30/06/2015,One-off,Communities Group,Atherstone Summer in the Square,218204,Councillors Grant Award - Atherstone Summer in the Square,900.00
15/04/2015,One-off,Communities Group,Nuneaton and North Warwickshire Equestrian Centre,229089,Councillors Grant Award - Equipment,"1,000.00"
27/07/2015,One-off,Communities Group,Volunteer Centre North Wariwckshire Limited,N/A,Councillors Grant Award - Equipment,"1,282.00"
22/04/2015,One-off,Communities Group,Shepperton Allotment Association,N/A,Councillors Grant Award - Compost Toilet,"1,000.00"
20/07/2015,One-off,Communities Group,Grove Farm Community Life,N/A,Councillors Grant Award - Grove Farm Community Life,"1,000.00"
11/05/2015,One-off,Communities Group,Hartshill Hotshots JFC,N/A,Councillors Grant Award - Hartshill Hotshots JFC - to set up an Under 9's Team,800.00
06/05/2015,One-off,Communities Group,Woodside PTA,N/A,Councillors Grant Award - Woodside PTA - Cycle Shelter & equipment,500.00
06/01/2016,One-off,Communities Group,Hill Street Youth & Community Centre,202656,Councillors Grant Award - Hill Street Youth & Community Centre,737.00
27/10/2015,One-off,Communities Group,North Warwickshire Older People's Forum,204487,Councillors Grant Award - Speakers/entertainment etc,500.00
22/02/2016,One-off,Communities Group,Nuneaton and Bedworth Older People's Forum,204529,Councillors Grant Award - Speaker costs,500.00
23/02/2016,One-off,Communities Group,Nuneaton Arts Council,204532,Councillors Grant Award - Community Cinema Programme,"5,500.00"
01/12/2015,One-off,Communities Group,Overslade Community Association,204643,Councillors Grant Award - Overslade Job Club,"3,263.00"
15/12/2015,One-off,Communities Group,Long Lawford Parish Council,209287,Councillors Grant Award - Bus Shelter,750.00
02/11/2015,One-off,Communities Group,Water Orton Library and Community Centre,210536,Councillors Grant Award - Floor Covering Replacement,500.00
02/11/2015,One-off,Communities Group,Atherstone Town Cricket Club,210539,Councillors Grant Award - Atherstone Town Cricket Club,550.00
09/02/2016,One-off,Communities Group,Owen Street Community Arts Centre,210546,Councillors Grant Award - Demolition of Outbuilding,"1,825.00"
27/10/2015,One-off,Communities Group,Bulkington Community Library CIC,211033,Councillors Grant Award - Community Mural & Drinks Machine,"1,750.00"
27/10/2015,One-off,Communities Group,Keresly Community Library,212116,Councillors Grant Award - Job Club,"1,200.00"
10/12/2015,One-off,Communities Group,Friends of Atherstone Heritage,213291,Councillors Grant Award - Nuneaton Credit Union,665.00
23/11/2015,One-off,Communities Group,Newdigate Road Allotment Association,213438,Councillors Grant Award - Allotment,955.81
16/11/2015,One-off,Communities Group,Austrey & Warton Scout Group,213871,Councillors Grant Award - Camping equipment,"1,000.00"
30/11/2015,One-off,Communities Group,Piccadilly Community Association,215028,Councillors Grant Award - War memorial,"2,500.00"
16/11/2015,One-off,Communities Group,Greenmoor Community Allotment Association,216533,Councillors Grant Award - Greenmoor Community Allotment Association,"1,000.00"
27/10/2015,One-off,Communities Group,Bodymore Heath Victory Hall,218187,Councillors Grant Award - Drainage System update,990.00
27/10/2015,One-off,Communities Group,Kingsbury Methodist Community Outreach Group,218203,Councillors Grant Award - Lunch club members outing & cooking equipment,900.00
08/02/2016,One-off,Communities Group,Polesworth Abbey Scout Group,218357,Councillors Grant Award - Security System project,"2,000.00"
09/11/2015,One-off,Communities Group,Maxstoke Village Hall,218483,Councillors Grant Award - Security Fencing project,500.00
18/01/2016,One-off,Communities Group,Galley Common Village Residents Association,219003,Councillors Grant Award - Galley Common Village Residents Association,"1,525.00"
09/11/2015,6 months,Communities Group,Old Collycroft Residents Association,219007,Councillors Grant Award -Health & Wellbeing project,600.00
23/11/2015,6 months,Communities Group,Old Collycroft Residents Association,219007,Councillors Grant Award -Health & Wellbeing project,600.00
03/11/2015,One-off,Communities Group,Water Orton Cricket Club,219805,Councillors Grant Award - Defibrillator,780.00
15/03/2016,One-off,Communities Group,Old Saltleians RFC,219808,Councillors Grant Award - Rugby equipment project,500.00
01/12/2015,One-off,Communities Group,Entrust Care Partnership,224736,Councillors Grant Award - Oily Cart Live,"2,000.00"
03/03/2016,One-off,Communities Group,Stockingford Allotment Association,226646,Councillors Grant Award - Eco Toilet,"4,000.00"
09/11/2015,One-off,Communities Group,Shuttington Parish Council,228744,Councillors Grant Award - Defribrillator,"1,500.00"
23/11/2015,One-off,Communities Group,Aspire in Arts Ltd,N/A,Councillors Grant Award - Weekly Youth Sessions,"4,996.00"
24/02/2016,One-off,Communities Group,Cawston Parish Council,N/A,Councillors Grant Award - Cawston Community Hall,"3,110.00"
25/11/2015,One-off,Communities Group,The Bradby Club for Young People,N/A,Councillors Grant Award - Positive and Powerful project,"2,500.00"
12/01/2016,One-off,Communities Group,Kingsbury Parish Church Handbell Ringers,N/A,Councillors Grant Award - Kingsbury Parish Church Handbell Ringers,"1,860.00"
02/11/2015,One-off,Communities Group,Water Orton & District Tennis Club,N/A,Councillors Grant Award - Club Room Entrance alterations,"1,850.00"
25/11/2015,One-off,Communities Group,REDACTED,N/A,"Councillors Grant Award - Go ""Aut"" doors project","1,800.00"
10/12/2015,One-off,Communities Group,Friends of Middlemarch School,N/A,Councillors Grant Award - Alternative natural walkway project,"1,600.00"
29/02/2016,One-off,Communities Group,Bermuda Phoemix Community Centre,N/A,Councillors Grant Award - New flooring project,"1,595.00"
10/12/2015,One-off,Communities Group,Whitehall Community Hall,N/A,Councillors Grant Award - Whitehall Community Hall,"1,500.00"
25/01/2016,One-off,Communities Group,St Giles Church Exhall,N/A,Councillors Grant Award - St Giles Church Exhall,"1,500.00"
01/02/2016,One-off,Communities Group,Friends of Exhall Cedars Infant Nursery and Pre-School,N/A,Councillors Grant Award - Lockable buggy/scooter/bike park,"1,500.00"
01/02/2016,One-off,Communities Group,Ansley Parish Council,N/A,Councillors Grant Award  - Plinth for Daw Mill Colliery Winding Wheel,"1,400.00"
08/03/2016,One-off,Communities Group,North Warwickshire First Responders,N/A,Councillors Grant Award  - Defibrillator project,"1,155.00"
02/12/2015,One-off,Communities Group,REDACTED,N/A,Councillors Grant Award - Toilets Refurbishment and New Disabled Toilet,"1,100.00"
09/02/2016,One-off,Communities Group,North Warwickshire First Responders,N/A,Councillors Grant Award - Defibrillator project,"1,089.00"
24/03/2016,One-off,Communities Group,Ambleside ,N/A,Councillors Grant Award  - Defibrillator and Staff Training,"1,020.00"
12/01/2016,One-off,Communities Group,Gun Hill Allotment Association,N/A,Councillors Grant Award  - Gun Hill Allotment Association,"1,018.00"
27/08/2015,One-off,Communities Group,North Warwickshire Neighbourhood Watch Association,N/A,Councillors Grant Award  - A446 Camera Surveillance project,"1,000.00"
27/10/2015,One-off,Communities Group,Fillongley Scout Group,N/A,Councillors Grant Award - Camping Equipment,"1,000.00"
23/11/2015,One-off,Communities Group,North Warwickshire Neighbourhood Watch Association,N/A,Councillors Grant Award - Neighbourhood watch project,"1,000.00"
02/02/2016,One-off,Communities Group,Nuneaton Lawn Tennis Club,N/A,Councillors Grant Award - Path to Tennis Courts project,"1,000.00"
17/02/2016,One-off,Communities Group,St Michaels Childrens Centre,N/A,Councillors Grant Award - Community Cafe,"1,000.00"
16/02/2016,One-off,Communities Group,Bulkington Village Centre,N/A,Councillors Grant Award - Stage replacement,"1,000.00"
24/03/2016,One-off,Communities Group,REDACTED,N/A,Councillors Grant Award - Funding for two church groups,"1,000.00"
24/03/2016,One-off,Communities Group,Nuneaton Harriers Community Association,N/A,Councillors Grant Award - Nuneaton Harriers Community Association - Walking Rugby Sessions,"1,000.00"
25/11/2015,One-off,Communities Group,Binley Woods Youth Club,N/A,Councillors Grant Award - Floor covering replacement at Binley Woods Youth Club project,900.00
16/11/2015,One-off,Communities Group,5th Coleshill Brownies,N/A,Councillors Grant Award - Camping trip,860.00
25/11/2015,One-off,Communities Group,Marton Parish Council,N/A,Councillors Grant Award - Marton Parish Council,819.00
25/01/2016,One-off,Communities Group,Newbold on Avon Community Partnership,N/A,Councillors Grant Award - Newbold on Avon Community Partnership,812.00
10/03/2016,One-off,Communities Group,Exhall Boxing Academy,N/A,Councillors Grant Award - Purchase of digital video camera,750.00
12/01/2016,One-off,Communities Group,Moor Equestrian Riding for the Disabled,N/A,Councillors Grant Award - Equipment,700.00
01/02/2016,One-off,Communities Group,Friends of Race Leys,N/A,Councillors Grant Award - Mud Kitchen project,700.00
19/10/2015,One-off,Communities Group,Nuneaton Muslim Centre,N/A,Councillors Grant Award - Defibrillator Storage,630.00
26/10/2015,One-off,Communities Group,Diabetes & Youth Support,N/A,Councillors Grant Award - Winter Cricket for Young People,600.00
27/10/2015,One-off,Communities Group,Polesworth Abbey PCC,N/A,Councillors Grant Award - Community Event Marquee,600.00
10/12/2015,One-off,Communities Group,Fillongley Falcons Explorer Unit,N/A,Councillors Grant Award - Purchase of Tents,600.00
19/10/2015,One-off,Communities Group,Whitestone Over 60's Club,N/A,Councillors Grant Award - Christmas Meal & Transport,500.00
23/11/2015,One-off,Communities Group,Stockingford AA Pavillion Ladies FC,N/A,Councillors Grant Award - Equipment,500.00
01/02/2016,One-off,Communities Group,Friends of Exhall Cedars Infant Nursery and Pre-School,N/A,Councillors Grant Award  - Outreach session,500.00
21/04/2015,One-off,Communities Group,Nepalese Community Nuneaton,N/A,Armed Forces Community Covenant Grant,"5,000.00"
18/11/2015,One-off,Communities Group,Ryton on Dunsmore Parish Council,205315,Councillors Grant Award - Replacement of Trees for Recreation Ground,566.00
04/11/2015,One-off,Communities Group,Hill Street Youth & Community Centre,212330,Councillors Grant Award - Open Access Youth Club,"1,750.00"
18/11/2015,One-off,Communities Group,The New Bilton Community Association,225994,"Councillors Grant Award - Relocate, Refurb and Redecorate project","1,760.00"
18/11/2015,One-off,Communities Group,The New Bilton Community Association,225994,"Councillors Grant Award - Relocate, Refurb and Redecorate project",990.00
10/11/2015,One-off,Communities Group,Willoughby Parish Council,228693,Councillors Grant Award - Defibrillator project,941.00
12/11/2015,One-off,Communities Group,Shilton & Barnade Parish Council,228991,Councillors Grant Award - Community Project,"1,650.00"
18/11/2015,One-off,Communities Group,Stretton on Dunsmore Parish Council,232211,Councillors Grant Award - Cricket Pavilion Electricity project,"1,500.00"
04/06/2015,One-off,Communities Group,Stretton on Dunsmore Parish Council,232211,Councillors Grant Award - Stretton on Dunsmore Parish Council,748.00
04/11/2015,One-off,Communities Group,The Chapel (Newbold on Avon Methodist Church),N/A,Councillors Grant Award - Disabled Access Point,"2,000.00"
18/11/2015,One-off,Communities Group,Brinklow Parish Council,N/A,Councillors Grant Award - Upgrade of Children's Play Area project,"1,517.00"
04/11/2015,One-off,Communities Group,"St Peter & St Johns Church, Rugby",N/A,Councillors Grant Award - Improving Community Use of Community Space,"1,379.00"
10/11/2015,One-off,Communities Group,22nd Hillmorton Scout Group,N/A,Councillors Grant Award - Tents project,"1,350.00"
04/11/2015,One-off,Communities Group,Rugby Gymnastics Club,N/A,Councillors Grant Award - Rugby Gym Club New Build,925.00
04/11/2015,One-off,Communities Group,Age UK Warwickshire,N/A,Councillors Grant Award - Allotment Garden,895.00
28/10/2015,One-off,Communities Group,Pailton Parish Council,N/A,Councillors Grant Award - Speed Awareness signs - Pailton,600.00
18/11/2015,One-off,Communities Group,Wolvey School PTA,N/A,Councillors Grant Award - Wolvey School's Wildlife Area,575.00
05/11/2015,One-off,Communities Group,Stratford Baby & Toddler Group,N/A,Councillors Grant Award - Stretton Baby & Toddler Group,500.00
03/02/2016,One-off,Communities Group,Earlswood Village Hall,201921,Councillors Grant Award - Refurbishment of toilets project,"1,000.00"
10/02/2016,One-off,Communities Group,Marston Sicca Parish Council,203902,Councillors Grant Award - Provision of sports/leisure equipment,600.00
10/02/2016,One-off,Communities Group,Townsend Hall Management Committee,206322,Councillors Grant Award - Townsend Hall Management Committee,"1,000.00"
24/02/2016,One-off,Communities Group,Welford on Avon Parish Council,206753,Councillors Grant Award - Support for ongoing children's literacy and adult life enrichment activities i.e. IT access,"1,850.00"
10/02/2016,One-off,Communities Group,Stratford Upon Avon Citizens Advice Bureau,211334,"Councillors Grant Award - ""Signs and Triggers"" training course",750.00
10/02/2016,One-off,Communities Group,Orchestra of the Swan,211343,Councillors Grant Award - Music workshops,500.00
02/02/2016,One-off,Communities Group,Alcester Olympic Committee,211628,Councillors Grant Award - Youth Participation in sporting activities during Olympics 2016,"1,000.00"
07/03/2016,One-off,Communities Group,Alcester Town Council,213559,Councillors Grant Award - Purchase of gravity rider for Moorfields Road play area,700.00
02/02/2016,One-off,Communities Group,ACT.com,218942,Councillors Grant Award - Air conditioning in the Jubilee Centre,"1,500.00"
09/02/2016,One-off,Communities Group,Long Itchington Leisure and Community Partnership (LILAC),219095,Councillors Grant Award - Defibrillator project,"2,500.00"
10/02/2016,One-off,Communities Group,Stockton Village Hall,219098,Councillors Grant Award - Replacement windows for hall and office dwelling in hall,500.00
10/02/2016,One-off,Communities Group,The Shakespeare Hospice,224282,Councillors Grant Award - Pilot of Pre-bereavement Children's Support Group,950.00
10/02/2016,One-off,Communities Group,Warwickshire Vision Support,232379,Councillors Grant Award - Transportation costs for As You Like It Club,600.00
18/02/2016,One-off,Communities Group,Warwickshire Vision Support,232379,Councillors Grant Award - Transport costs to Shipston Valley VIP club,500.00
10/02/2016,One-off,Communities Group,Warwickshire Vision Support,232379,Councillors Grant Award - Transportation costs,500.00
10/02/2016,One-off,Communities Group,Warwickshire Vision Support,232379,Councillors Grant Award - Assistance with transport costs,500.00
03/02/2016,One-off,Communities Group,Artistsworkhouse,N/A,Councillors Grant Award - Artistsworkhouse - Kitchen update,"3,000.00"
02/02/2016,One-off,Communities Group,Atrial Fibrillation Association,N/A,Councillors Grant Award - Atrial Fibrillation Association,"2,600.00"
10/02/2016,One-off,Communities Group,Wellesbourne Wanderers Football Club,N/A,Councillors Grant Award - Replace goal posts & purchase of waterproof jackets,"2,500.00"
03/02/2016,One-off,Communities Group,Arrhythmia Alliance,N/A,Councillors Grant Award - Arrhythmia Alliance - support project,"2,300.00"
04/02/2016,One-off,Communities Group,The Graham Adams Centre,N/A,Councillors Grant Award - Vegetable Art Programme,"2,000.00"
04/02/2016,One-off,Communities Group,Aunt Phoebe's recreational ground,N/A,Councillors Grant Award - Refurbishment of equipment at Aunt Phoebe's recreational ground,"2,000.00"
09/02/2016,One-off,Communities Group,The Parenting Project - Southam,N/A,Councillors Grant Award - The Parenting Project - Southam,"2,000.00"
10/02/2016,One-off,Communities Group,Shakespeare Birthplace Trust,N/A,Councillors Grant Award - Access to Birthplace,"2,000.00"
