Location,Map Ref,X Coordinate,Y Coordinate,Mobile,Route,Number,Stop Name,Sheltered Location,Arrive,Depart,Stay,Day of the week,Week No
Admington,135,420138,246141,Alcester,G,6,Village,No,14:25,14:40,15,Tuesday,3
Alcester,,409102,257375,Alcester,M,6,Malt Mill Lane Sheltered Housing Scheme,Yes,16:00,16:30,30,Tuesday,3
Alcester,,408648,257333,Alcester,K,1,Teddy Bear Corner Nursery,No,09:10,09:35,25,Friday,2
Aldermans Green,50,437229,284788,Bedworth,B,10,Toldish Hall  Farm,No,15:15,15:30,15,Tuesday,1
Aldermans Green,50,436594,284107,Bedworth,B,11,Parrotts Grove,No,15:35,15:50,15,Tuesday,1
Alderminster,130,423090,248457,Alcester,D,3,Old Road,No,10:10,10:35,25,Thursday,1
Alveston,121,423561,256515,Alcester,M,3,Ferry Inn,No,12:20,12:40,20,Tuesday,3
Ansley,,430246,294147,Atherstone,F,7,Pipers Lane,No,14:20,14:35,15,Monday,2
Ansley,26,429839,291638,Atherstone,M,3,Ludford Close,No,13:15,13:45,30,Tuesday,3
Ansley,27,430156,291441,Atherstone,M,4,Croft Mead,No,13:50,14:30,40,Tuesday,3
Ansley,27,430207,291248,Atherstone,M,5,Birmingham Road,No,14:35,14:55,20,Tuesday,3
Ansty,51,439683,283408,Bedworth,B,9,Grove Road,No,14:45,15:05,20,Tuesday,1
Ardens Grafton,119,411601,254386,Alcester,J,7,T Junction,No,12:10,12:30,20,Thursday,2
Arley,,428289,290489,Atherstone,F,3,Meadow Croft,Yes,11:10,11:50,40,Monday,2
Arley,,428492,290834,Atherstone,F,4,Roland Court,Yes,11:55,12:15,20,Monday,2
Armscote,136,423564,244424,Alcester,D,9,Crab Tree Farm,No,14:40,14:55,15,Thursday,1
Armscote,136,424280,244714,Alcester,D,10,Village Phone Box,No,15:00,15:15,15,Thursday,1
Armscote,136,425305,245012,Alcester,D,11,Fair Havens Bungalow,No,15:20,15:35,15,Thursday,1
Ascott,142,432319,234743,Alcester,K,6,Opp. Post Box,No,13:55,14:15,20,Friday,2
Ash Green,37,433462,284834,Atherstone,C,11,Ash Green School - Ash Green Lane,No,15:50,16:30,40,Wednesday,1
Ashorne,122,430454,257751,Southam,B,7,Phone Box,No,14:20,14:40,20,Tuesday,1
Aspley Heath,87,409490,270523,Alcester,H,3,Murmel - Blind Lane,No,09:40,09:55,15,Wednesday,2
Aspley Heath,87,409700,270415,Alcester,H,2,Ferndale - Blind Lane,No,09:20,09:35,15,Wednesday,2
Aspley Heath,87,409870,270547,Alcester,H,4,Aspley Heath Lane,No,10:00,10:15,15,Wednesday,2
Aspley Heath,87,409757,270887,Alcester,H,5,Langland - Broad Lane,No,10:20,10:35,15,Wednesday,2
Astley,37,431128,289279,Atherstone,C,10,Castle Drive,No,14:55,15:15,20,Wednesday,1
Aston Cantlow,119,413872,259970,Alcester,F,8,Guild Road,No,15:25,15:45,20,Monday,2
Atherstone,,431173,297630,Atherstone,D,4,Regal Court,Yes,15:00,15:40,40,Thursday,1
Attleborough,,437159,290838,Atherstone,P,3,James Diskin Court,Yes,11:20,12:10,50,Friday,3
Attleborough,,437169,290931,Atherstone,P,4,Ramsden Resource Centre,Yes,12:15,12:45,30,Friday,3
Austrey,3,428517,307138,Atherstone,H,3,Newton Regis Lane,No,10:35,10:50,15,Wednesday,2
Austrey,3,429441,306656,Atherstone,H,4,Layby Main Road,No,11:05,11:35,30,Wednesday,2
Austrey,3,429657,306275,Atherstone,H,5,Bird in Hand,No,11:40,12:00,20,Wednesday,2
Avon Dassett,133,441032,250009,Southam,K,4,RC Church,No,11:20,11:40,20,Friday,2
Avon Dassett,133,441219,250700,Southam,K,5,Paxhill,No,11:50,12:05,15,Friday,2
Baddesley Clinton,90,420811,272456,Kenilworth,J,3,Rising Lane Lay-by,No,10:30,10:45,15,Thursday,2
Baginton,77,434487,273680,Bedworth,E,4,Stoneleigh Road,No,11:25,11:45,20,Friday,1
Baginton,77,434684,274583,Bedworth,E,5,The Old School,No,11:50,12:05,15,Friday,1
Baginton,77,434379,275044,Bedworth,E,6,Holly Walk,No,13:30,14:00,30,Friday,1
Baginton,77,434622,275050,Bedworth,E,7,Rowley Road,No,14:05,14:20,15,Friday,1
Barford,122,426814,260743,Kenilworth,E,2,Mill Lane,No,10:20,10:35,15,Friday,1
Barford,122,427042,260879,Kenilworth,E,1,Beehive Nursery,No,09:30,10:15,45,Friday,1
Barford,122,427094,260293,Kenilworth,E,5,Sandy Way,No,13:30,13:50,20,Friday,1
Barton,129,410809,251214,Alcester,J,9,The Malt House,No,14:00,14:15,15,Thursday,2
Barton-on-the-Heath,140,425726,232670,Alcester,B,2,Village Green,No,10:15,10:35,20,Tuesday,1
Baxterley,,427364,297168,Atherstone,H,9,The Orchard,No,14:30,15:00,30,Wednesday,2
Bearley,120,417824,260732,Kenilworth,G,3,Post Office,No,10:35,10:50,15,Tuesday,2
Bearley,120,418123,260934,Kenilworth,G,2,Grange Road,No,10:00,10:20,20,Tuesday,2
Bearley,120,418237,260590,Kenilworth,G,4,Bearley Green,No,11:00,11:20,20,Tuesday,2
Beausale,91,424087,270822,Kenilworth,J,1,Crossroads,No,09:30,09:45,15,Thursday,2
Bedworth,37,436536,287566,Bedworth,L,3,"Pine Tree Road, Furnace Fields",No,11:00,11:20,20,Monday,3
Bedworth,,433796,286364,Bedworth,N,3,Arthur Alford House,Yes,11:50,12:50,60,Wednesday,3
Bedworth,,434940,286840,Bedworth,L,5,Croft Pool,Yes,12:30,12:45,15,Monday,3
Bedworth,,436879,286651,Bedworth,L,1,Poplar House,Yes,09:00,09:45,45,Monday,3
Bedworth,,433205,285735,Bedworth,L,6,Richmond Bede Village,Yes,14:20,15:30,70,Monday,3
Bedworth,,436006,287241,Bedworth,L,4,The Grove,Yes,11:30,12:15,45,Monday,3
Bedworth,,436673,286775,Bedworth,L,2,York Avenue,Yes,10:10,10:50,40,Monday,3
Bedworth,,436692,286502,Bedworth,N,4,"Poets Corner, Drayton Road",Yes,14:20,14:40,20,Wednesday,3
Bilton,,449200,275200,Bedworth,D,1,Dryden Walk/Dryden Place/Eliot Court,Yes,10:50,11:25,35,Thursday,1
Binton,120,414404,254144,Alcester,J,10,Village Hall,No,14:35,14:55,20,Thursday,2
Birchley Heath,17,428710,294438,Atherstone,F,9,The Laurels,No,15:00,15:20,20,Monday,2
Birdingbury,97,443172,268338,Southam,D,12,Memorial,No,14:35,14:55,20,Thursday,1
Bishop's Itchington,124,438668,257272,Southam,P,1,Dodge Hill Cottages,No,09:40,09:55,15,Friday,3
Bishop's Itchington,124,438756,257662,Southam,P,2,Manor Road,No,10:00,10:15,15,Friday,3
Bishop's Itchington,124,439236,257937,Southam,P,3,Central Drive,No,10:25,10:45,20,Friday,3
Bishop's Itchington,124,438920,257532,Southam,P,5,Starbold Road,No,11:35,11:55,20,Friday,3
Bishop's Itchington,124,439325,257717,Southam,P,4,Ellestree Cottages,No,11:10,11:30,20,Friday,3
Bishop's Itchington,124,439029,257832,Southam,P,6,Butchers Arms,No,12:00,12:15,15,Friday,3
Bishop's Itchington,124,438832,257339,Southam,M,11,Scowcroft Drive,No,15:45,16:00,15,Tuesday,3
Bishops Tachbrook,122,430815,261301,Southam,B,2,St Chad's Close,No,10:45,11:10,25,Tuesday,1
Bishops Tachbrook,122,431306,261394,Southam,B,3,Church Lees,No,11:15,11:35,20,Tuesday,1
Blackwell,136,424021,243437,Alcester,D,8,Ilmington Road,No,14:20,14:35,15,Thursday,1
Bourton on Dunsmore,97,443670,270478,Southam,D,9,Bourton Hall,No,12:45,13:15,30,Thursday,1
Brandon,79,436710,275604,Bedworth,H,1,Grange Bungalow,No,09:15,09:30,15,Wednesday,2
Brinklow,64,441809,281245,Bedworth,J,1,Coombe View Farm,No,09:30,09:45,15,Thursday,2
Brinklow,64,443187,279214,Bedworth,J,3,"The British Legion, Heath Lane",No,11:50,12:35,45,Thursday,2
Brinklow,64,443031,279425,Bedworth,J,4,Great Balance,No,14:10,14:30,20,Thursday,2
Brinklow,,443506,279339,Bedworth,J,5,"Broad Street, The Raven ",No,14:35,14:55,20,Thursday,2
Brinklow,,443533,279386,Bedworth,J,6,"Broad Street, The White Lion",No,14:55,15:15,20,Thursday,2
Broadwell,115,445407,265801,Southam,H,3,The Row,No,10:55,11:15,20,Wednesday,2
Broom,128,409164,253069,Alcester,C,9,Broom Inn - Bidford Road,No,15:05,15:25,20,Wednesday,1
Bubbenhall,95,435321,272379,Bedworth,E,2,Ellesmere Stoneleigh Rd,No,10:05,10:25,20,Friday,1
Bubbenhall,95,436235,272619,Bedworth,E,3,Lower End,No,10:30,11:00,30,Friday,1
Bubbenhall,95,436324,272210,Bedworth,H,11,"Inside Out Day Nursery, Leicester Lane",No,15:15,15:45,30,Wednesday,2
Burmington,141,426494,237929,Alcester,K,8,Old Corn Store,No,15:10,15:30,20,Friday,2
Burton Dassett,133,439769,251780,Southam,M,6,Church Junction,No,13:35,13:55,20,Tuesday,3
Burton Hastings,41,441162,289978,Bedworth,B,1,Doran - Main Street,No,09:30,09:50,20,Tuesday,1
Butlers Marston,131,431847,250068,Southam,M,1,Bank Close,No,10:00,10:20,20,Tuesday,3
Camp Hill,,433366,293191,Atherstone,M,1,Craddock Court,Yes,09:45,10:45,60,Tuesday,3
Camp Hill,,434506,292639,Atherstone,D,1,Windsor Court,Yes,10:00,10:45,45,Thursday,1
Charlecote,121,425503,257065,Kenilworth,E,7,Village Hall,No,14:35,15:00,25,Friday,1
Cherington,137,429300,236753,Alcester,K,2,St John's Close,No,10:25,10:50,25,Friday,2
Cherington,141,429081,236437,Alcester,K,3,Bus Shelter,No,11:10,11:30,20,Friday,2
Chesterton,123,434827,258616,Southam,O,1,The Green,No,09:40,09:55,15,Thursday,3
Chesterton,123,435733,258207,Southam,O,2,Church,No,10:00,10:15,15,Thursday,3
Chilvers Coton,,435992,290825,Atherstone,L,1,Bridge St Flats,Yes,09:30,10:20,50,Monday,3
Chilvers Coton,,436301,290761,Atherstone,P,5,Hanover Glebe,Yes,13:50,15:10,80,Friday,3
Chilvers Coton,,436306,290500,Atherstone,P,1,Shepperton Court Sheltered Housing,Yes,09:30,10:30,60,Friday,3
Church Lawford,81,444106,275410,Bedworth,D,4,Limestone Hall,No,13:50,14:05,15,Thursday,1
Church Lawford,81,444953,276306,Bedworth,D,5,The Green,No,14:10,14:30,20,Thursday,1
Churchover,67,451482,279864,Bedworth,G,8,Coton Road Houses,No,15:00,15:15,15,Tuesday,2
Churchover,67,451310,280485,Bedworth,G,7,Trusteel Houses,No,14:40,14:55,15,Tuesday,2
Churchover,67,451136,280886,Bedworth,G,6,Church Street,No,14:00,14:30,30,Tuesday,2
Claverdon,113,419743,264653,Kenilworth,M,2,St Michael's Road,No,10:00,11:00,60,Tuesday,3
Clifford Chambers,129,419643,252274,Alcester,G,1,Clifford Club,No,09:25,09:50,25,Tuesday,2
Clifton upon Dunsmore,83,452211,276028,Bedworth,C,3,Avon Street,No,13:40,14:00,20,Wednesday,1
Clifton upon Dunsmore,83,453062,276384,Bedworth,C,4,The Bull,No,14:05,14:50,45,Wednesday,1
Coleshill,,419864,288517,Atherstone,G,3,Digby Road Centre,Yes,12:15,12:55,40,Tuesday,2
Coleshill,,419987,289392,Atherstone,G,1,Servite House (Coleshill),Yes,09:20,11:10,110,Tuesday,2
Coleshill,33,419802,288528,Atherstone,G,2,Orchard Blythe,Yes,11:30,12:10,40,Tuesday,2
Coleshill,24,420378,291793,Atherstone,D,3,"Hams Hall Ind Est, Sainsbury's Distribution Depot",No,13:30,14:30,60,Monday,3
Corley,47,430091,285159,Atherstone,C,4,Village Hall,No,11:45,12:00,15,Wednesday,1
Corley,47,429866,285457,Atherstone,C,5,Kingswood Avenue,No,12:05,12:25,20,Wednesday,1
Corley Ash,48,429377,286034,Atherstone,C,6,Ash Farm,No,12:30,12:50,20,Wednesday,1
Corley Ash,48,429679,286467,Atherstone,C,7,Jasmine Cottage,No,12:55,13:10,15,Wednesday,1
Corley Moor,47,427958,285005,Atherstone,C,3,Bull & Butcher,No,11:25,11:40,15,Wednesday,1
Curdworth,23,417779,293029,Atherstone,B,6,Charlesworth,No,12:40,12:55,15,Tuesday,1
Curdworth,23,418019,292722,Atherstone,B,7,Village Hall,No,14:00,14:45,45,Tuesday,1
Darlingscott,136,423079,242114,Alcester,O,2,Potter's Lane,No,10:15,10:35,20,Thursday,3
Draycote,116,444510,269933,Southam,D,10,Telephone Box,No,13:50,14:05,15,Thursday,1
Dunchurch,,448523,271760,Bedworth,K,3,Edmondson Close,Yes,10:40,11:10,30,Friday,2
Dunchurch,,447575,272955,Bedworth,K,4,Lime Tree Village,Yes,11:30,12:30,60,Friday,2
Dunnington,127,406892,253674,Alcester,J,5,Lay-by Old Post Office,No,10:40,11:00,20,Thursday,2
Earlswood,70,411650,273860,Alcester,H,10,The Common - Bungalows,No,12:45,13:10,25,Wednesday,2
Earlswood,70,411088,273834,Alcester,H,11,Malthouse Lane,No,14:20,14:45,25,Wednesday,2
Easenhall,65,446520,279492,Bedworth,G,3,The Green,No,11:35,11:55,20,Tuesday,2
Easenhall,,444877,279488,Bedworth,J,2,Town Thorns,Yes,10:20,11:35,75,Thursday,2
Eathorpe,96,439136,269143,Southam,D,4,The Old Post Office,No,10:25,10:40,15,Thursday,1
Edge Hill,132,437473,247480,Southam,C,8,Ratley Beeches,No,14:25,14:50,25,Wednesday,1
Ettington,131,426734,249033,Southam,G,9,Church,No,15:10,15:30,20,Tuesday,2
Ettington,131,427238,248652,Southam,G,10,White Horse,No,15:35,16:00,25,Tuesday,2
Exhall,119,410226,255173,Alcester,J,6,Notice Board,No,11:30,12:00,30,Thursday,2
Exhall,,435118,285244,Bedworth,N,2,John Haynes Court,Yes,11:00,11:40,40,Wednesday,3
Farnborough,133,443239,249578,Southam,K,6,Vicarage,No,13:30,13:45,15,Friday,2
Farnborough,133,443606,250085,Southam,K,7,Opposite Haypool,No,13:50,14:05,15,Friday,2
Fenny Compton,133,442015,252615,Southam,K,1,Station Road,No,09:40,10:00,20,Friday,2
Fenny Compton,133,441683,252266,Southam,K,2,Memorial,No,10:05,10:20,15,Friday,2
Fenny Compton,133,441524,252095,Southam,K,3,Grants Close,No,10:25,10:45,20,Friday,2
Fillongley,36,427380,288519,Atherstone,K,10,Mill Cottage,No,15:20,15:40,20,Friday,2
Fillongley,36,426270,287814,Atherstone,K,8,Durham Rise,No,14:30,14:45,15,Friday,2
Fillongley,36,428057,287261,Atherstone,K,5,The School,No,11:50,12:05,15,Friday,2
Fillongley,37,428916,287306,Atherstone,K,7,"Wood End, Sandy Lane",No,14:00,14:20,20,Friday,2
Fillongley,37,429328,287902,Atherstone,C,9,"Wood End, The Grove",No,14:35,14:50,15,Wednesday,1
Fillongley,36,424834,286703,Atherstone,K,3,Woodfields,No,10:50,11:05,15,Friday,2
Fillongley,36,427040,286865,Atherstone,K,4,The Summit,No,11:30,11:45,15,Friday,2
Fillongley,36,429859,287165,Atherstone,C,8,High House Farm,No,13:15,13:30,15,Wednesday,1
Fillongley,,428252,287124,Atherstone,K,6,Eastlang Rd Community Centre,No,12:10,12:50,40,Friday,2
Fillongley,36,426862,287997,Atherstone,K,9,Willow Close,No,14:50,15:15,25,Friday,2
Five Ways,90,422766,269947,Kenilworth,J,10,"Case Lane,Hayward Cottages/Outside Farm",No,14:45,15:10,25,Thursday,2
Flecknoe,117,449659,264508,Southam,H,4,Station Cottages,No,11:25,11:40,15,Wednesday,2
Flecknoe,117,451406,263540,Southam,H,5,Old School,No,11:45,12:30,45,Wednesday,2
Forshaw Heath,87,408744,273315,Alcester,H,8,Juggins Lane Trailer Park,No,11:50,12:20,30,Wednesday,2
Forshaw Heath,87,409030,274020,Alcester,H,9,Wynard,No,12:25,12:35,10,Wednesday,2
Frankton,97,442630,270355,Southam,D,11,Old School,No,14:10,14:25,15,Thursday,1
Furnace End,25,424803,291259,Atherstone,E,1,Opposite The  Bull,No,09:50,10:10,20,Friday,1
Galley Common,27,431471,291879,Atherstone,M,6,Valley Road Surgery,No,15:00,15:45,45,Tuesday,3
Gaydon,123,436509,253988,Southam,O,7,Village Shop,No,13:50,14:10,20,Thursday,3
Gaydon,123,436274,253924,Southam,O,8,St Mark's Close,No,14:15,14:35,20,Thursday,3
Gaydon,123,435338,255281,Southam,O,6,"Woodland Nursery, Aston Martin Site",No,13:00,13:45,45,Thursday,3
Grandborough,116,449110,266829,Southam,N,5,Shoulder of Mutton,No,11:25,11:45,20,Wednesday,3
Great Wolford,140,424790,234473,Alcester,B,1,Fox and Hounds,No,09:45,10:05,20,Tuesday,1
Halford,137,426144,245474,Alcester,D,6,Stour View,No,12:00,12:25,25,Thursday,1
Hampton Lucy,122,426457,256829,Kenilworth,E,6,opp Boars Head,No,14:00,14:20,20,Friday,1
Hampton Magna,114,425620,264821,Kenilworth,B,4,Damson Road,No,11:35,11:55,20,Tuesday,1
Hampton Magna,,425923,265071,Kenilworth,B,3,Cawston House -  Styles Close,No,10:20,11:15,55,Tuesday,1
Hampton Magna,,425915,265046,Kenilworth,B,2,Budbrooke Nursery,No,10:00,10:15,15,Tuesday,1
Hampton on the Hill,,425283,263985,Kenilworth,B,5,Hampton Croft Bungalows,Yes,12:05,13:00,55,Tuesday,1
Harborough Magna,66,446849,278370,Bedworth,G,1,Cathiron Crossing,No,10:30,10:45,15,Tuesday,2
Harborough Magna,67,449089,279906,Bedworth,G,5,Hospital Farm,No,12:30,12:45,15,Tuesday,2
Harborough Magna,67,447900,279149,Bedworth,G,4,Meadow Way,No,12:05,12:20,15,Tuesday,2
Harborough Magna,67,447288,278938,Bedworth,G,2,Easenhall Road,No,11:10,11:30,20,Tuesday,2
Harbury,111,435206,261996,Southam,L,2,"Lower Fosse Farm, Fosse Way",No,09:55,10:10,15,Monday,3
Haseley Knob,91,423434,271286,Kenilworth,J,2,Post Box,No,09:50,10:05,15,Thursday,2
Haselor,119,412537,258100,Alcester,F,9,Old Post Office,No,16:00,16:15,15,Monday,2
Heathcote Park,123,431095,262866,Southam,B,1,Caravan Park,No,09:55,10:35,40,Tuesday,1
Henley,113,415639,269118,Kenilworth,K,8,"Hillfield House, Liveridge Farm",No,12:05,12:15,10,Friday,2
Hillmorton,,453559,273450,Bedworth,P,2,Astley Place,Yes,09:55,10:15,20,Friday,3
Hillmorton,,453230,273574,Bedworth,P,3,Duffy Place/High Street,Yes,10:40,11:40,60,Friday,3
Hillmorton,,453822,273437,Bedworth,P,1,Foresters Place,Yes,09:30,09:50,20,Friday,3
Hillmorton,,452555,273820,Bedworth,P,4,Mercer Court/Robbins Court,Yes,11:45,13:00,75,Friday,3
Hillmorton,,452889,274051,Bedworth,M,3,Pettiver Crescent/Bromwish Road,Yes,14:15,15:15,60,Tuesday,3
Hockley Heath,88,414596,271793,Kenilworth,K,5,Obelisk Farm,No,11:10,11:25,15,Friday,2
Honington,138,426810,242689,Alcester,L,6,Council Houses,No,14:45,15:05,20,Monday,3
Hunningham,115,438919,266626,Southam,D,1,Snowford Hall Cottages,No,09:30,09:45,15,Thursday,1
Hunningham,107,437704,268195,Southam,D,2,Cottages,No,09:50,10:00,10,Thursday,1
Hunningham,107,437279,268079,Southam,D,3,Church,No,10:05,10:20,15,Thursday,1
Hurley,16,423783,295674,Atherstone,N,4,Post Office,No,12:50,13:05,15,Wednesday,3
Hurley,16,424655,295760,Atherstone,N,6,Holly Drive,No,13:35,13:50,15,Wednesday,3
Hurley,16,424304,295972,Atherstone,N,7,High Street,No,13:55,14:15,20,Wednesday,3
Hurley,16,424262,295815,Atherstone,N,5,Layby,No,13:10,13:30,20,Wednesday,3
Hurley,16,424152,297028,Atherstone,N,8,The Common,No,14:20,14:40,20,Wednesday,3
Idlicote,137,428443,244382,Southam,G,3,Bellum Cottages,No,11:05,11:20,15,Tuesday,2
Ilmington,136,421272,243518,Alcester,O,3,Red Lion,No,10:45,11:15,30,Thursday,3
Ilmington,136,420858,243445,Alcester,O,4,Old School,No,11:35,12:10,35,Thursday,3
Kemps Green,88,413661,271374,Kenilworth,K,6,"Umberslade Hall, Umberslade",No,11:30,11:45,15,Friday,2
Kemps Green,88,415053,269915,Kenilworth,K,7,Nuthurst Farm,No,11:50,12:00,10,Friday,2
Kenilworth,,429513,271903,Kenilworth,N,6,Ashdene Gardens,Yes,14:30,15:30,60,Wednesday,3
Kenilworth,,428970,272000,Kenilworth,N,5,Coniston Grange,Yes,13:40,14:20,40,Wednesday,3
Kenilworth,,429381,272560,Kenilworth,N,3,Glendale Avenue,Yes,11:05,11:25,20,Wednesday,3
Kenilworth,,429764,270837,Kenilworth,C,5,Servite House,Yes,12:10,12:50,40,Wednesday,1
Kenilworth,,428786,272040,Kenilworth,N,1,Montpellier House,Yes,09:40,10:20,40,Wednesday,3
Kenilworth,,428857,271173,Kenilworth,C,6,Moorlands Lodge,Yes,14:00,14:50,50,Wednesday,1
Kenilworth,,429165,270912,Kenilworth,C,3,Oaklands Court,Yes,10:45,11:25,40,Wednesday,1
Kenilworth,,428942,272128,Kenilworth,N,2,Richards Close,Yes,10:25,10:45,20,Wednesday,3
Kenilworth,,428902,271252,Kenilworth,C,7,Kenilworth Manor,Yes,15:00,15:45,45,Wednesday,1
Kenilworth,,429012,271724,Kenilworth,C,4,Tannery Court,Yes,11:35,12:00,25,Wednesday,1
Kenilworth,,429598,272257,Kenilworth,N,4,Willow Meer (Adcock Drive),Yes,11:30,12:15,45,Wednesday,3
Kenilworth,92,427798,273046,Kenilworth,M,8,Scarecrows Day Nursery,No,15:10,16:00,50,Tuesday,3
Kingsbury,,421876,296205,Atherstone,N,2,Hadleys Croft,Yes,10:45,11:10,25,Wednesday,3
Kingsbury,,421853,296442,Atherstone,N,3,Jubilee Court,Yes,11:15,11:35,20,Wednesday,3
Knightcote,124,439909,254538,Southam,M,10,Telephone Box,No,15:05,15:30,25,Tuesday,3
Knowle End,133,438374,248381,Southam,C,11,Camp Lane,No,15:50,16:05,15,Wednesday,1
Ladbroke,124,441653,258833,Southam,K,8,School Lane,No,14:20,14:40,20,Friday,2
Langley,113,419082,263400,Kenilworth,M,1,Spring Lane,No,09:20,09:50,30,Tuesday,3
Lapworth,88,418988,272130,Kenilworth,J,4,Kingswood Close,No,11:00,11:15,15,Thursday,2
Lapworth,88,418826,271228,Kenilworth,J,5,Station Lane,No,11:25,11:35,10,Thursday,2
Lapworth,88,418514,271111,Kenilworth,J,7,Harborough Cottages,No,13:15,13:35,20,Thursday,2
Lapworth,88,418536,273269,Kenilworth,K,1,15 Chapel Lane,No,09:15,09:30,15,Friday,2
Lapworth,88,419122,273871,Kenilworth,K,2,179 Chapel Lane,No,09:35,09:55,20,Friday,2
Lapworth,88,418395,271605,Kenilworth,J,6,"Meadow Springs, Mill Lane",No,11:40,11:50,10,Thursday,2
Lapworth,88,417543,271114,Kenilworth,K,3,Pound Close,No,10:30,10:50,20,Friday,2
Lapworth,88,416059,272034,Kenilworth,K,4,"Bell Cottages, Wharf Lane",No,10:55,11:05,10,Friday,2
Lawford Heath,65,445525,273083,Bedworth,K,1,The Rylands,No,09:30,09:45,15,Friday,2
Lea Marston,24,420360,293406,Atherstone,B,8,The Green,No,15:10,16:00,50,Tuesday,1
Leamington Hastings,116,444391,267720,Southam,N,1,Birdingbury Road,No,09:30,09:45,15,Wednesday,3
Leamington Hastings,116,444523,267715,Southam,N,2,Off T-Junction,No,09:50,10:10,20,Wednesday,3
Leamington Hastings,116,445000,267182,Southam,N,4,Swedish Houses,No,11:00,11:15,15,Wednesday,3
Leamington Hastings,,444495,267537,Southam,N,3,Alms Houses,No,10:15,10:35,20,Wednesday,3
Leamington Spa,,431665,267170,Kenilworth,F,1,Avon Court (Leamington),Yes,09:15,10:05,50,Monday,2
Leamington Spa,,430738,266399,Kenilworth,F,3,Brookhurst Court,Yes,11:00,11:30,30,Monday,2
Leamington Spa,,432956,264621,Southam,J,4,Campion View,Yes,12:05,12:45,40,Thursday,2
Leamington Spa,,432458,266946,Kenilworth,D,2,Charles Watson Court,Yes,10:40,11:20,40,Thursday,1
Leamington Spa,,432007,264151,Southam,J,3,Culworth House,Yes,11:35,11:55,20,Thursday,2
Leamington Spa,,431737,266708,Kenilworth,D,1,Homewood,Yes,09:30,10:15,45,Thursday,1
Leamington Spa,,431986,266051,Southam,J,6,Kinmond Court,Yes,14:50,15:30,40,Thursday,2
Leamington Spa,,431848,266582,Kenilworth,D,5,Oakfield House,Yes,15:00,15:45,45,Thursday,1
Leamington Spa,,431913,266693,Kenilworth,F,5,Parmiter House,Yes,12:30,13:00,30,Monday,2
Leamington Spa,,430418,266058,Kenilworth,F,4,Rene England House,Yes,11:40,12:15,35,Monday,2
Leamington Spa,,432133,267355,Kenilworth,D,4,Southfields,Yes,13:40,14:40,60,Thursday,1
Leamington Spa,,432481,266070,Southam,J,5,Whittle Court,Yes,13:55,14:40,45,Thursday,2
Leamington Spa,,431231,266963,Kenilworth,F,2,Huntley Lodge,Yes,10:15,10:40,25,Monday,2
Lighthorne,123,432291,255737,Southam,B,4,Pipers Bath,No,12:10,12:25,15,Tuesday,1
Lighthorne,131,433909,255658,Southam,O,5,Verney Close,No,11:45,12:00,15,Thursday,3
Lighthorne,123,433833,255775,Southam,O,4,Mountford Rise,No,11:25,11:40,15,Thursday,3
Lighthorne Heath,123,435152,255929,Southam,O,9,Winyates Road,No,14:55,15:10,15,Thursday,3
Lighthorne Heath,123,435199,255696,Southam,O,10,Marston Avenue,No,15:15,15:35,20,Thursday,3
Lighthorne Heath,123,435017,255836,Southam,O,11,Avon Road,No,15:40,16:20,40,Thursday,3
Lighthorne Heath,,434921,255905,Southam,J,1,Children's Centre,No,09:45,10:15,30,Thursday,2
Lilllington,,432360,266921,Kenilworth,D,3,Acorn Court,Yes,11:30,12:30,60,Thursday,1
Little Compton,141,426301,230329,Alcester,B,6,Old Post Office,No,14:15,14:35,20,Tuesday,1
Little Compton,141,425804,230213,Alcester,B,7,Red Lion,No,14:40,14:55,15,Tuesday,1
Long Compton,141,429032,232690,Alcester,B,5,Back Lane,No,11:55,12:55,60,Tuesday,1
Long Compton,141,428690,233217,Alcester,B,4,Crockwell Street,No,11:35,11:50,15,Tuesday,1
Long Compton,141,427773,233145,Alcester,B,3,The Mill,No,10:40,10:55,15,Tuesday,1
