SOA Code,SOA Name,Ward Name,Locality,District/Borough,Total Population,% of Total Population Aged 0 - 15,% of Total Population - Working Age (16 - 60 Females/16 - 64 Males),"% of Total Population aged 60+ (Females), 65+ (Males)"
E01031005,"New Arley East, Hill Top and Ansley",Arley and Whitacre,North Warwickshire - South ,North Warwickshire,"1,460",22.7%,59.8%,17.5%
E01031006,New Arley West and Old Arley,Arley and Whitacre,North Warwickshire - South ,North Warwickshire,"1,428",18.8%,65.1%,16.0%
E01031007,New Arley South and Over Whitacre,Arley and Whitacre,North Warwickshire - South ,North Warwickshire,"1,229",16.4%,63.1%,20.4%
E01031008,Ansley Common and Birchley Heath,Arley and Whitacre,North Warwickshire - South ,North Warwickshire,"1,322",21.6%,60.8%,17.5%
E01031009,Atherstone Central - Canal and Outwoods,Atherstone Central,North Warwickshire - East ,North Warwickshire,"2,159",17.0%,64.8%,18.2%
E01031010,Atherstone Central - Centre,Atherstone Central,North Warwickshire - East ,North Warwickshire,"1,615",19.9%,66.1%,14.0%
E01031011,Atherstone North - Town Centre North & Alder Mill,Atherstone North,North Warwickshire - East ,North Warwickshire,"2,007",17.8%,63.2%,19.0%
E01031012,Atherstone North - St Georges and Carlyon,Atherstone North,North Warwickshire - East ,North Warwickshire,"1,488",17.9%,52.2%,29.8%
E01031013,Atherstone South,Atherstone South and Mancetter,North Warwickshire - East ,North Warwickshire,"1,046",13.5%,57.3%,29.3%
E01031014,Mancetter North,Atherstone South and Mancetter,North Warwickshire - East ,North Warwickshire,"1,268",15.1%,60.8%,24.1%
E01031015,Mancetter South and Ridge Lane,Atherstone South and Mancetter,North Warwickshire - East ,North Warwickshire,"1,418",22.8%,57.6%,19.5%
E01031016,Baddesley Ensor West,Baddesley and Grendon,North Warwickshire - North ,North Warwickshire,"1,576",17.8%,58.2%,24.0%
E01031017,"Grendon, Bradley Green and Whittington",Baddesley and Grendon,North Warwickshire - North ,North Warwickshire,"1,291",15.6%,63.2%,21.1%
E01031018,"Baddesley Common, Baxterley and Merevale",Baddesley and Grendon,North Warwickshire - North ,North Warwickshire,"1,190",15.5%,60.6%,23.9%
E01031019,Coleshill North - Grimstock Hill,Coleshill North,North Warwickshire - South ,North Warwickshire,"1,687",20.7%,63.0%,16.3%
E01031020,Coleshill North - Cole End,Coleshill North,North Warwickshire - South ,North Warwickshire,"1,498",16.0%,62.5%,21.5%
E01031021,Coleshill South - Centre,Coleshill South,North Warwickshire - South ,North Warwickshire,"1,627",12.7%,61.5%,25.9%
E01031022,Coleshill South - Hospital & Southfields,Coleshill South,North Warwickshire - South ,North Warwickshire,"1,797",16.2%,57.0%,26.7%
E01031023,Curdworth and Wishaw,Curdworth,North Warwickshire - West ,North Warwickshire,"1,634",14.4%,60.4%,25.2%
E01031024,Marston and Water Park,Curdworth,North Warwickshire - West ,North Warwickshire,"1,729",13.9%,63.7%,22.3%
E01031025,Dordon Rural,Dordon,North Warwickshire - North ,North Warwickshire,"1,442",14.5%,62.0%,23.5%
E01031026,Dordon Village,Dordon,North Warwickshire - North ,North Warwickshire,"1,638",20.6%,64.0%,15.4%
E01031027,Corley,Fillongley,North Warwickshire - South ,North Warwickshire,"1,596",14.9%,59.1%,25.9%
E01031028,Fillongley and The Packingtons,Fillongley,North Warwickshire - South ,North Warwickshire,"1,938",15.8%,62.1%,22.1%
E01031029,Hartshill South,Hartshill,North Warwickshire - East ,North Warwickshire,"1,505",21.9%,60.0%,18.1%
E01031030,Hartshill North and Caldecote,Hartshill,North Warwickshire - East ,North Warwickshire,"2,207",17.3%,61.4%,21.3%
E01031031,Piccadilly and Wood End,Hurley and Wood End,North Warwickshire - West ,North Warwickshire,"2,324",20.1%,62.2%,17.7%
E01031032,Hurley,Hurley and Wood End,North Warwickshire - West ,North Warwickshire,"1,482",19.7%,62.9%,17.4%
E01031033,Kingsbury South,Kingsbury,North Warwickshire - West ,North Warwickshire,"1,885",17.2%,58.7%,24.1%
E01031034,Kingsbury North,Kingsbury,North Warwickshire - West ,North Warwickshire,"1,895",16.8%,68.3%,14.8%
E01031035,Warton and Shuttington,Newton Regis and Warton,North Warwickshire - North ,North Warwickshire,"1,857",19.3%,58.7%,22.0%
E01031036,"Newton Regis, Austrey and Seckington",Newton Regis and Warton,North Warwickshire - North ,North Warwickshire,"1,586",18.4%,59.9%,21.7%
E01031037,Polesworth East - St Helena,Polesworth East,North Warwickshire - North ,North Warwickshire,"1,436",18.3%,58.0%,23.7%
E01031038,Polesworth East - Station,Polesworth East,North Warwickshire - North ,North Warwickshire,"1,971",19.9%,62.2%,17.9%
E01031039,Polesworth West - School,Polesworth West,North Warwickshire - North ,North Warwickshire,"1,668",19.6%,60.4%,20.0%
E01031040,Polesworth West - Birchmoor & Pooley Fields,Polesworth West,North Warwickshire - North ,North Warwickshire,"1,776",18.2%,65.5%,16.2%
E01031041,Water Orton West,Water Orton,North Warwickshire - West ,North Warwickshire,"1,847",16.8%,65.9%,17.3%
E01031042,Water Orton East,Water Orton,North Warwickshire - West ,North Warwickshire,"1,816",16.5%,61.8%,21.6%
E01031043,Abbey Town Centre,Abbey,Abbey & Wem Brook ,Nuneaton & Bedworth,"1,429",16.3%,63.5%,20.2%
E01031044,Abbey North,Abbey,Abbey & Wem Brook ,Nuneaton & Bedworth,"1,429",19.5%,65.5%,15.0%
E01031045,Abbey West,Abbey,Abbey & Wem Brook ,Nuneaton & Bedworth,"1,559",17.4%,60.2%,22.4%
E01031046,Abbey Priory,Abbey,Abbey & Wem Brook ,Nuneaton & Bedworth,"1,491",20.9%,68.3%,10.8%
E01031047,Abbey South,Abbey,Abbey & Wem Brook ,Nuneaton & Bedworth,"1,711",21.7%,66.5%,11.8%
E01031048,Arbury Heath End,Arbury,Arbury & Stockingford ,Nuneaton & Bedworth,"1,302",19.7%,67.6%,12.7%
E01031049,Arbury George Elliott,Arbury,Arbury & Stockingford ,Nuneaton & Bedworth,"2,144",21.7%,57.8%,20.5%
E01031050,Arbury Rural,Arbury,Arbury & Stockingford ,Nuneaton & Bedworth,"1,529",22.3%,66.0%,11.7%
E01031051,Arbury North,Arbury,Arbury & Stockingford ,Nuneaton & Bedworth,"1,457",15.1%,63.3%,21.6%
E01031052,Attleborough North East,Attleborough,Abbey & Wem Brook ,Nuneaton & Bedworth,"1,458",20.4%,68.2%,11.4%
E01031053,Attleborough North West,Attleborough,Whitestone & Bulkington/Abbey & Wem Brook,Nuneaton & Bedworth,"1,502",14.7%,53.3%,32.0%
E01031054,Attleborough Central,Attleborough,Whitestone & Bulkington ,Nuneaton & Bedworth,"1,541",19.2%,57.3%,23.5%
E01031055,Attleborough South West,Attleborough,Whitestone & Bulkington ,Nuneaton & Bedworth,"1,948",23.8%,70.6%,5.6%
E01031056,Attleborough South East,Attleborough,Whitestone & Bulkington ,Nuneaton & Bedworth,"1,475",21.1%,57.6%,21.3%
E01031057,Bar Pool North & Crescents,Bar Pool,Arbury & Stockingford ,Nuneaton & Bedworth,"1,441",28.2%,57.1%,14.7%
E01031058,Bar Pool West & Recreation Ground,Bar Pool,Arbury & Stockingford ,Nuneaton & Bedworth,"1,454",18.8%,62.7%,18.5%
E01031059,Bar Pool East & Greenmoor,Bar Pool,Arbury & Stockingford ,Nuneaton & Bedworth,"1,406",19.9%,63.3%,16.8%
E01031060,Bar Pool Central,Bar Pool,Arbury & Stockingford ,Nuneaton & Bedworth,"1,454",17.2%,61.5%,21.3%
E01031061,Bar Pool South,Bar Pool,Arbury & Stockingford ,Nuneaton & Bedworth,"1,648",21.5%,68.5%,10.0%
E01031062,Bede South West,Bede,Bedworth South ,Nuneaton & Bedworth,"1,271",18.7%,57.7%,23.5%
E01031063,Bede Cannons,Bede,Bedworth South ,Nuneaton & Bedworth,"1,230",15.2%,59.5%,25.3%
E01031064,Bede Bedworth Town Centre,Bede,Bedworth South ,Nuneaton & Bedworth,"1,102",15.2%,53.4%,31.3%
E01031065,Bede North,Bede,Bedworth South ,Nuneaton & Bedworth,"1,484",19.2%,60.6%,20.1%
E01031066,Bede East,Bede,Bedworth South ,Nuneaton & Bedworth,"1,479",22.6%,55.9%,21.5%
E01031067,Bulkington Village,Bulkington,Whitestone & Bulkington ,Nuneaton & Bedworth,"1,515",14.3%,53.9%,31.8%
E01031068,Bulkington South East,Bulkington,Whitestone & Bulkington ,Nuneaton & Bedworth,"1,672",14.2%,50.9%,34.9%
E01031069,Bulkington North,Bulkington,Whitestone & Bulkington ,Nuneaton & Bedworth,"1,487",12.5%,48.8%,38.7%
E01031070,Bulkington Arden,Bulkington,Whitestone & Bulkington ,Nuneaton & Bedworth,"1,467",11.6%,56.6%,31.8%
E01031071,Camp Hill Village Centre,Camp Hill,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,214",28.3%,57.6%,14.2%
E01031072,Camp Hill South West & Brook,Camp Hill,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,047",26.9%,61.3%,11.7%
E01031073,Camp Hill North & Pools,Camp Hill,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,713",18.7%,58.3%,23.0%
E01031074,Camp Hill North West & Allotments,Camp Hill,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,492",19.8%,63.3%,17.0%
E01031075,Camp Hill West & Quarry,Camp Hill,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,536",26.2%,57.4%,16.4%
E01031076,Exhall Grange,Exhall,Bedworth North ,Nuneaton & Bedworth,"1,422",18.7%,58.4%,22.9%
E01031077,Keresley North and Newlands,Exhall,Bedworth North ,Nuneaton & Bedworth,"1,391",22.9%,62.1%,15.0%
E01031078,Keresley South and Ash Green,Exhall,Bedworth North ,Nuneaton & Bedworth,"1,898",17.4%,61.1%,21.4%
E01031079,Exhall West,Exhall,Bedworth South ,Nuneaton & Bedworth,"1,535",16.9%,57.7%,25.4%
E01031080,Exhall East,Exhall,Bedworth South ,Nuneaton & Bedworth,"1,570",17.3%,55.4%,27.3%
E01031081,Galley Common South East,Galley Common,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,728",24.5%,66.1%,9.4%
E01031082,Galley Common South,Galley Common,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,482",22.1%,72.0%,5.9%
E01031083,Galley Common West & Rural,Galley Common,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,594",19.1%,63.8%,17.1%
E01031084,Chapel End,Galley Common,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,978",23.2%,66.4%,10.4%
E01031085,Galley Common East,Galley Common,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,453",18.2%,70.7%,11.1%
E01031086,Goodyers End,Heath,Bedworth North ,Nuneaton & Bedworth,"1,772",19.2%,58.5%,22.2%
E01031087,Heath Sports,Heath,Bedworth North ,Nuneaton & Bedworth,"2,051",25.5%,58.6%,15.9%
E01031088,Market End and Newdigate,Heath,Bedworth North ,Nuneaton & Bedworth,"1,808",22.5%,62.5%,15.0%
E01031089,Little Heath,Heath,Bedworth North ,Nuneaton & Bedworth,"1,447",14.0%,58.3%,27.7%
E01031090,Kingswood Grove Farm & Rural,Kingswood,Arbury & Stockingford ,Nuneaton & Bedworth,"1,450",25.3%,61.9%,12.8%
E01031091,Kingswood St Pauls,Kingswood,Arbury & Stockingford ,Nuneaton & Bedworth,"1,422",20.1%,59.5%,20.4%
E01031092,Kingswood Stockingford Schools,Kingswood,Arbury & Stockingford ,Nuneaton & Bedworth,"1,450",24.0%,58.9%,17.1%
E01031093,Kingswood Hills,Kingswood,Arbury & Stockingford ,Nuneaton & Bedworth,"1,361",19.3%,63.1%,17.6%
E01031094,Kingswood North East,Kingswood,Arbury & Stockingford ,Nuneaton & Bedworth,"1,179",22.9%,61.3%,15.8%
E01031095,Poplar Nicholas Chamberlain,Poplar,Bedworth South ,Nuneaton & Bedworth,"1,164",21.6%,59.8%,18.6%
E01031096,Poplar North West,Poplar,Bedworth South ,Nuneaton & Bedworth,"1,278",18.7%,69.6%,11.7%
E01031097,Poplar Coalpit Field,Poplar,Bedworth South ,Nuneaton & Bedworth,"1,673",19.4%,62.1%,18.5%
E01031098,Poplar Bayton Road,Poplar,Bedworth South ,Nuneaton & Bedworth,"1,360",22.1%,62.0%,15.9%
E01031099,Poplar South,Poplar,Bedworth South ,Nuneaton & Bedworth,"2,219",20.9%,69.1%,10.0%
E01031100,St Nicolas Horeston Grange West,St. Nicolas,Weddington & St. Nicolas ,Nuneaton & Bedworth,"1,401",17.9%,70.0%,12.1%
E01031101,St Nicolas Horeston Grange East,St. Nicolas,Weddington & St. Nicolas ,Nuneaton & Bedworth,"1,532",20.5%,66.3%,13.3%
E01031102,St Nicolas South West,St. Nicolas,Weddington & St. Nicolas ,Nuneaton & Bedworth,"1,296",17.4%,63.3%,19.2%
E01031103,St Nicolas East & The Long Shoot,St. Nicolas,Weddington & St. Nicolas ,Nuneaton & Bedworth,"1,292",20.3%,58.0%,21.7%
E01031104,St Nicolas North & College,St. Nicolas,Weddington & St. Nicolas,Nuneaton & Bedworth,"1,453",12.2%,47.8%,40.0%
E01031105,Slough Mt Pleasant,Slough,Bedworth North ,Nuneaton & Bedworth,"1,451",20.1%,56.4%,23.6%
E01031106,Slough South & Heath,Slough,Bedworth North ,Nuneaton & Bedworth,"1,461",13.8%,60.3%,25.9%
E01031107,Slough Collycroft North,Slough,Bedworth North ,Nuneaton & Bedworth,"1,157",22.0%,66.3%,11.8%
E01031108,Slough West and Rural,Slough,Bedworth North ,Nuneaton & Bedworth,"1,374",19.5%,68.3%,12.2%
E01031109,Slough Collycroft South,Slough,Bedworth North ,Nuneaton & Bedworth,"1,528",19.4%,60.4%,20.2%
E01031110,Weddington St Nicholas West,Weddington,Weddington & St. Nicolas ,Nuneaton & Bedworth,"1,423",14.8%,55.8%,29.4%
E01031111,Weddington St Nicholas East,Weddington,Weddington & St. Nicolas ,Nuneaton & Bedworth,"1,133",18.7%,65.3%,16.0%
E01031112,Weddington South & Schools,Weddington,Weddington & St. Nicolas ,Nuneaton & Bedworth,"1,594",19.9%,57.7%,22.4%
E01031113,Weddington North,Weddington,Weddington & St. Nicolas ,Nuneaton & Bedworth,"1,435",16.6%,57.7%,25.7%
E01031114,Wedding South West & River,Weddington,Weddington & St. Nicolas ,Nuneaton & Bedworth,"1,449",15.9%,56.9%,27.2%
E01031115,Wem Brook Bridges,Wem Brook,Abbey & Wem Brook ,Nuneaton & Bedworth,"1,594",19.6%,61.9%,18.5%
E01031116,Middlemarch & Swimming Pool,Wem Brook,Abbey & Wem Brook ,Nuneaton & Bedworth,"1,579",27.4%,55.7%,17.0%
E01031117,Wem Brook East,Wem Brook,Abbey & Wem Brook ,Nuneaton & Bedworth,"1,341",21.6%,57.5%,21.0%
E01031118,Hill Top,Wem Brook,Abbey & Wem Brook ,Nuneaton & Bedworth,"1,191",22.6%,57.7%,19.7%
E01031119,Riversley,Wem Brook,Abbey & Wem Brook ,Nuneaton & Bedworth,"1,569",17.6%,64.6%,17.8%
E01031120,Whitestone North West & Attleborough Fields,Whitestone,Weddington & St. Nicolas/Whitestone & Bulkington,Nuneaton & Bedworth,"1,375",18.1%,66.1%,15.8%
E01031121,Whitestone North,Whitestone,Weddington & St. Nicolas/Whitestone & Bulkington,Nuneaton & Bedworth,"1,288",18.2%,65.6%,16.1%
E01031122,Whitestone South,Whitestone,Whitestone & Bulkington/Weddington & St. Nicolas,Nuneaton & Bedworth,"1,512",15.9%,59.3%,24.9%
E01031123,Whitestone East & Rural,Whitestone,Whitestone & Bulkington ,Nuneaton & Bedworth,"1,298",16.3%,61.4%,22.3%
E01031124,Whitestone South,Whitestone,Whitestone & Bulkington ,Nuneaton & Bedworth,"1,540",15.1%,55.6%,29.3%
E01031125,Admirals North,Admirals,Rugby Town West ,Rugby,"1,497",16.8%,62.8%,20.4%
E01031126,Cawston,Admirals,Rugby Town West ,Rugby,"4,170",30.8%,62.5%,6.7%
E01031127,Admirals East,Admirals,Rugby Town West ,Rugby,"1,527",26.3%,57.7%,16.0%
E01031128,"Easenhall, Newton & Biggin and Harborough Magna",Avon and Swift,Rugby Rural ,Rugby,"2,684",21.9%,62.2%,15.8%
E01031129,Clifton Upon Dunsmore,Avon and Swift,Rugby Rural ,Rugby,"1,115",16.6%,53.8%,29.6%
E01031130,Benn Station,Benn,Rugby Town North ,Rugby,"1,724",20.9%,71.5%,7.5%
E01031131,Benn West,Benn,Rugby Town North ,Rugby,"1,474",19.0%,71.0%,10.0%
E01031132,Benn South,Benn,Rugby Town North ,Rugby,"1,698",16.6%,70.0%,13.4%
E01031133,Whinfield Park,Benn,Rugby Town North ,Rugby,"1,451",21.2%,64.5%,14.3%
E01031134,Bilton East,Bilton,Rugby Town West ,Rugby,"1,704",15.1%,49.3%,35.6%
E01031135,Bilton South Cock Robin,Bilton,Rugby Town West ,Rugby,"1,588",15.4%,45.5%,39.1%
E01031136,Bilton North West,Bilton,Rugby Town West ,Rugby,"1,573",16.0%,54.7%,29.3%
E01031137,Brownsover North Lake District,Brownsover North,Rugby Town North ,Rugby,"1,111",18.1%,69.2%,12.7%
E01031138,Brownsover North - East,Brownsover North,Rugby Town North ,Rugby,"1,201",24.2%,68.8%,7.0%
E01031139,Brownsover North Campion,Brownsover North,Rugby Town North ,Rugby,"1,791",21.9%,70.2%,7.9%
E01031140,Brownsover South Lake District South,Brownsover South,Rugby Town North ,Rugby,"1,320",20.7%,60.5%,18.9%
E01031141,Brownsover South Junction One,Brownsover South,Rugby Town North ,Rugby,"1,260",22.8%,64.0%,13.3%
E01031142,Brownsover South Lake District North,Brownsover South,Rugby Town North ,Rugby,"1,473",29.6%,65.0%,5.4%
E01031143,Caldecott South and Rural,Caldecott,Rugby Town West ,Rugby,"1,487",15.4%,58.8%,25.8%
E01031144,Caldecott North East,Caldecott,Rugby Town West ,Rugby,"1,154",16.5%,61.5%,22.0%
E01031145,Caldecott North West,Caldecott,Rugby Town West ,Rugby,"1,552",24.4%,58.4%,17.1%
E01031146,Caldecott Rokeby,Caldecott,Rugby Town West ,Rugby,"1,450",19.9%,51.7%,28.4%
E01031147,Thurlaston,Dunchurch and Knightlow,Rugby Rural ,Rugby,"1,499",16.3%,47.4%,36.3%
E01031148,Dunchurch,Dunchurch and Knightlow,Rugby Rural ,Rugby,"1,516",17.1%,51.1%,31.8%
E01031149,"Princethorpe, Marton, Frankton, Bourton & Draycote",Dunchurch and Knightlow,Rugby Rural ,Rugby,"1,437",16.9%,59.7%,23.4%
E01031150,Stretton on Dunsmore,Dunchurch and Knightlow,Rugby Rural ,Rugby,"1,111",18.5%,53.8%,27.7%
E01031151,Binley Woods North,Earl Craven and Wolston,Rugby Rural ,Rugby,"1,511",18.1%,55.8%,26.1%
E01031152,Binley Woods South,Earl Craven and Wolston,Rugby Rural ,Rugby,"1,059",16.5%,56.4%,27.1%
E01031153,Wolston South,Earl Craven and Wolston,Rugby Rural ,Rugby,"1,479",22.6%,55.8%,21.6%
E01031154,Brandon and Wolston North,Earl Craven and Wolston,Rugby Rural ,Rugby,"1,559",15.5%,62.2%,22.3%
E01031155,Eastlands South,Eastlands,Rugby Town East ,Rugby,"1,308",21.2%,58.1%,20.7%
E01031156,Eastlands South West,Eastlands,Rugby Town East ,Rugby,"1,405",19.7%,59.8%,20.5%
E01031157,Eastlands North,Eastlands,Rugby Town East ,Rugby,"1,738",22.3%,60.7%,17.0%
E01031158,Eastlands Abbots,Eastlands,Rugby Town East ,Rugby,"1,041",17.0%,48.1%,34.9%
E01031159,Fosse West,Fosse,Rugby Rural ,Rugby,"1,570",16.9%,58.0%,25.2%
E01031160,Fosse East,Fosse,Rugby Rural ,Rugby,"2,013",18.1%,60.2%,21.8%
E01031161,Hillmorton North and Locks,Hillmorton,Rugby Town East ,Rugby,"1,881",16.3%,54.8%,28.9%
E01031162,Hillmorton East and Wharf,Hillmorton,Rugby Town East ,Rugby,"1,621",18.0%,56.0%,26.0%
E01031163,Hillmorton West,Hillmorton,Rugby Town East ,Rugby,"1,533",17.6%,50.9%,31.4%
E01031164,Long Lawford South,Lawford and King's Newnham,Rugby Rural ,Rugby,"1,821",20.1%,62.3%,17.6%
E01031165,"Church Lawford, Kings Newnham & Long Lawford North",Lawford and King's Newnham,Rugby Rural ,Rugby,"1,481",20.5%,57.8%,21.7%
E01031166,Leam Valley,Leam Valley,Rugby Rural ,Rugby,"1,899",17.1%,58.2%,24.7%
