ESTAB,School name,District,Education Area,Type,Phase,2008 Information Not Yet Obtained,2008 Any Other Asian Background,2008 Any Other Black Background,2008 Any Other Ethnic Group,2008 Any Other Mixed Background,2008 Any Other White Background,2008 Bangladeshi,2008 Black - African,2008 Black Caribbean,2008 Chinese,2008 Gypsy / Roma,2008 Indian,2008 Pakistani,2008 Refused,2008 Traveller of Irish Heritage,2008 White - British,2008 White - Irish,2008 White and Asian,2008 White and Black African,2008 White and Black Caribbean,2009 Information Not Yet Obtained,2009 Any Other Asian Background,2009 Any Other Black Background,2009 Any Other Ethnic Group,2009 Any Other Mixed Background,2009 Any Other White Background,2009 Bangladeshi,2009 Black - African,2009 Black Caribbean,2009 Chinese,2009 Gypsy / Roma,2009 Indian,2009 Pakistani,2009 Refused,2009 Traveller of Irish Heritage,2009 White - British,2009 White - Irish,2009 White and Asian,2009 White and Black African,2009 White and Black Caribbean,2010 Information Not Yet Obtained,2010 Any Other Asian Background,2010 Any Other Black Background,2010 Any Other Ethnic Group,2010 Any Other Mixed Background,2010 Any Other White Background,2010 Bangladeshi,2010 Black - African,2010 Black Caribbean,2010 Chinese,2010 Gypsy / Roma,2010 Indian,2010 Pakistani,2010 Refused,2010 Traveller of Irish Heritage,2010 White - British,2010 White - Irish,2010 White and Asian,2010 White and Black African,2010 White and Black Caribbean
1000,Atherstone Early Years Centre,North Warwickshire,North Warwickshire,Nursery,Nursery,0,0,0,0,0,0,0,0,1.2,1.2,0,0,0,0,0,92.6,1.2,2.5,0,1.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,Bedworth Early Years Centre and Nursery,Nuneaton and Bedworth,Nuneaton & Bedworth,Nursery,Nursery,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,92.6,0,4.4,0,1.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,Bedworth Heath Nursery School and Children's Centre,Nuneaton and Bedworth,Nuneaton & Bedworth,Nursery,Nursery,0,0,1.3,1.3,0,0,0,0,0,1.3,0,6.3,0,0,0,88.8,0,0,0,1.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,Whitnash Nursery School,Warwick,Central,Nursery,Nursery,12.5,1.3,0,0,1.3,2.5,0,0,0,0,0,13.8,1.3,10,0,46.3,2.5,3.8,1.3,3.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,Kenilworth Children's Centre and Nursery School,Warwick,Central,Nursery,Nursery,0,0,0,0,1.3,2.5,0,0,0,1.3,0,0,0,0,0,89.9,1.3,2.5,0,1.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,Warwick Children's Centre & Nursery School,Warwick,Central,Nursery,Nursery,6.8,1.4,0,0,2.7,2.7,0,0,0,0,0,1.4,1.4,1.4,0,81.1,0,0,0,1.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,Stockingford Early Years Centre,Nuneaton and Bedworth,Nuneaton & Bedworth,Nursery,Nursery,1.3,0,0,1.3,0,1.3,0,0,0,0,0,1.3,0,0,0,94.8,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Nursery Hill Primary School,North Warwickshire,North Warwickshire,Primary,Primary,0.7,1.4,0,0,0,0,0,0,0,0,0,0.7,1.4,2.2,0,92.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.5,0,0,97.8,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,95,0,0,0,0
2002,Gun Hill Infant School,North Warwickshire,North Warwickshire,Infant,Primary,0,0,0,0,0,0.9,0,0,0,0.9,0,0,0,0.9,0,93.6,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0.9,0,94.5,0,3.7,0,0,0,0,0,0,0,0.9,0,0,0,0.9,0,0,0,0.9,0,94.5,0,2.7,0,0
2004,Arden Hill Infant School,North Warwickshire,North Warwickshire,Infant,Primary,4.5,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,94.9,0,0,0,0,13.7,0,0,0,1.1,1.6,0,0,0,0,0,1.6,0,0,0.5,80.8,0,0,0.5,0,0,0,0,0,0.6,1.1,0,0,0,0,0,1.1,0,0,1.1,94.9,0,0,1.1,0
2014,Bishops Itchington Primary School,Stratford on Avon,Central,Primary,Primary,0,0,0,0,0.7,0.7,0,0,0,0,0,0,0,1.3,0,96.7,0,0.7,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0.7,0,97.2,0,1.4,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,98.4,0,0,0,0
2017,Claverdon Primary School,Stratford on Avon,Southern,Primary,Primary,0,1.1,0,0,0.5,1.1,0,0,0,0,0,0,0,0,0,94.6,0.5,0,0,2.2,0,1.1,0,1.1,1.1,0.6,0,0,0,0,0,0,0,0,0,94.3,0.6,0,0,1.1,0,1.1,0,0,0.5,3.2,0,0,0,0,0,0,0,0,0,92,1.1,0,1.1,1.1
2018,Dordon Community Primary School,North Warwickshire,North Warwickshire,Primary,Primary,0,0.7,0,0,2.9,0.7,0,0,0,0,0,0.7,0,0,0,91.2,0.7,0,1.5,1.5,0,0.9,0,0,3.7,0.9,0,0,0,0,0,0,0,0,0,90.7,0.9,0,0.9,1.9,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,93.1,1,0,1,1
2021,Wheelwright Lane Primary School,Nuneaton and Bedworth,Nuneaton & Bedworth,Primary,Primary,0.4,2.5,0,0.8,0,0.4,0,0.8,0,0,1.2,5.3,0,1.2,0,86.4,0,0.4,0,0.4,0,2.9,0,0.4,0,0.4,0.4,1.3,0,0,1.7,5.4,0.8,0.4,0,84.9,0,0.8,0,0.4,0,0,0,0.4,0,1.2,0.4,0.8,0,0,2,10.6,0.8,0.8,0,82.4,0,0.4,0,0
2024,Great Alne Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.3,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.4,0.9,1.8,0,0
2028,Michael Drayton Junior School,North Warwickshire,North Warwickshire,Junior,Primary,0,0.2,0.2,0,1.1,1.5,0,0.2,0,0,0,0.2,0,0,0,95.8,0,0.2,0,0.4,0,0,0.2,0.2,1.3,0.9,0,0,0,0,0,0,0,0,0,96.3,0,0.2,0,0.9,0,0,0.2,0.7,1.1,0.7,0,0.2,0,0,0,0.2,0,0.4,0,96,0,0,0,0.4
2029,Nathaniel Newton Infant School,North Warwickshire,North Warwickshire,Infant,Primary,0,0.6,0.6,0.6,0,1.8,0,0,0,0,0,0,0,2.4,0,93.5,0,0,0,0.6,0,1.2,0.6,0.6,0.6,1.2,0,0,0,0,0,0,0,2.3,0,93.6,0,0,0,0,0,0.6,0.6,0,1.1,1.7,0,0,0,0,0,0,0,1.1,0,95,0,0,0,0
2031,Henley-In-Arden Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,0,3,0,0,1.8,0,0,0,0,0,0,93.3,1.2,0,0,0.6,0,0.6,0,0.6,0,1.1,0,0,0.6,0,0,0,0,0,0,95.4,0.6,0.6,0,0.6,16.5,1.1,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,80.8,0,0.5,0,0
2032,Hurley Primary School,North Warwickshire,North Warwickshire,Primary,Primary,0.8,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,98.4,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,98.5,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,96.7,0,0,0,0
2043,Quinton Primary School,Stratford on Avon,Southern,Primary,Primary,0,2.2,0,0,2.2,2.2,0,0,0,0,0,2.2,0,0,0,87.6,0,2.2,0,1.1,0,1.4,0,0,2.7,1.4,0,0,0,0,0,2.7,0,0,0,86.5,0,2.7,1.4,1.4,0,1.4,0,0,4.2,2.8,0,0,0,0,0,2.8,0,0,0,83.3,0,4.2,0,1.4
2046,Snitterfield Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,0,2.9,0,0,0,0,1,0,0,4.9,0,90.2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,4,0,91,0,1,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,4.3,0,91.5,0,2.1,0,0
2049,Stockton Primary School,Stratford on Avon,Central,Primary,Primary,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,96.7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,94.1,0,0,0,2
2050,Stratford-upon-Avon Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,2.3,5.1,0,0,0,0,0,0,0,0,0,88,0,3.7,0.5,0.5,0,0,0,0,2.3,5.6,0,0,0,0.5,0,0,0,0,0,87.9,0,2.8,0.5,0.5,0,0.5,0,0,1.9,4.6,0,0,0,0.9,0,0,0,0,0,89.4,0,2.8,0,0
2052,Thomas Jolyffe Primary School,Stratford on Avon,Southern,Primary,Primary,0.7,0.2,0,0,1,8.7,0,0.2,0,0.5,0.2,0.7,0.2,0.7,0,84.1,0.2,1.7,0.2,0.2,2.3,0,0,0,1,9.5,0,0.3,0,0.3,0,0.3,0,0.5,0,83.7,0.3,1.5,0.3,0.3,0.5,0.3,0,0,0.8,9.6,0,0.3,0,0.5,0,1,0.8,0.3,0,83.4,0.3,1.8,0.5,0
2053,Bridge Town Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,1,1,5.9,0,0,0,0.7,0,2,0,4.6,0,82.4,1.3,0.7,0,0.7,0,0,0,1,2.3,5.2,0,0,0,0.3,0,1.9,0.3,3.9,0,81.9,1.3,0.6,0,1.3,0,0.3,0,1.3,2.3,6.2,0,0,0,0.3,0,1,0,3.2,0,81.8,1.6,0.6,0,1.3
2055,Studley Infant School,Stratford on Avon,Southern,Infant,Primary,0,0,0,0,0.4,3.1,0,0,0,0,0,0.9,2.7,0,0,90.2,0,0.4,0.4,1.8,0,0,0,0,1.4,0.9,0,0,0,0,0,0.5,2.3,0,0,92.8,0,0.5,0.5,1.4,0,0.4,0,0,0,0,0,0,0,0,0,0.4,1.7,0,0,96.1,0.4,0,0.4,0.4
2058,Welford-On-Avon Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,1.6,0.8,0,0,0,0,0,0.8,0,0,0,93.3,0,1.2,0,2.4,0,0,0,0,0.8,0.4,0,0,0,0,0,0.4,0,0.4,0,93.6,0,1.6,0,2.8,0,0,0,0,2,0.4,0,0,0,0,0,0.4,0,0.8,0,92.6,0,1.6,0,2.3
2063,Wood End Primary School,North Warwickshire,North Warwickshire,Primary,Primary,0,0,0,0,0,1.9,0,0,0,0,0,1.3,0,2.6,0,94.2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1.3,0,1.3,0,93.3,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,5.5,1.4,0,1.4,0,91.1,0,0,0,0
2064,Lighthorne Heath Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,96.5,0,0,1.2,0,2.7,0,0,0,0,1.4,0,0,0,0,0,0,0,1.4,0,93.2,0,1.4,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,96.1,0,1.3,0,0
2103,Chilvers Coton Community Infant School,Nuneaton and Bedworth,Nuneaton & Bedworth,Infant,Primary,0,3.6,0,0.6,0.6,0.6,0,1.2,0.6,0,0,60,9.7,0.6,0,18.8,0,1.2,0.6,1.8,0,4.7,0,0,0,2.7,0,0.7,2,0,0,57.7,10.1,0.7,0,18.8,0,0,0,2.7,0,4.6,0,0.7,0.7,4,0,0,3.3,0.7,0,55,7.3,0.7,0,19.9,0,1.3,0,2
2107,Galley Common Infant School,Nuneaton and Bedworth,Nuneaton & Bedworth,Infant,Primary,0,0,0,0,1.5,0,0,0.7,0,0,0,0,0,0.7,0,96.3,0,0,0,0.7,0,0,0,0,0.8,0.8,0,0.8,0,0,0,0,0,0.8,0,96.8,0,0,0,0,0,0,0,0,0.8,0.8,0,0,0,0,0,0.8,0,0,0,97.7,0,0,0,0
2120,Stockingford Junior School,Nuneaton and Bedworth,Nuneaton & Bedworth,Junior,Primary,0,0.5,0,0.5,0.3,0.5,0,0.5,0.5,0,0,0.5,0.3,0.3,0,94.3,0.3,0,0,1.6,0,0.6,0,0.3,0.3,1.1,0,0.6,0.3,0,0,0.8,0.8,0,0,93.5,0,0,0,1.7,0,0.6,0,0.6,0.3,1.2,0,0.3,0.3,0,0,0.3,0.6,0.3,0.3,93.5,0.3,0,0,1.5
2121,Stockingford Infant School,Nuneaton and Bedworth,Nuneaton & Bedworth,Infant,Primary,0,0.4,0,0.7,0.7,0,0,0.4,0,0,0,1.1,0,0,0,94.6,0.7,0,0,1.4,0,0,0,1.9,1.1,0,0,0.4,0.4,0,0,1.1,0.4,0,0,93.7,0.4,0,0,0.7,0,0,0,0.4,0.7,1.5,0,0.4,1.1,0,0,1.9,0.4,0,0,92.9,0,0.4,0,0.4
2123,Whitestone Infant School,Nuneaton and Bedworth,Nuneaton & Bedworth,Infant,Primary,0,0.8,0,0.8,1.6,0.8,0,0.4,0,0.8,0,5.4,0,0.4,0,87.6,0,0.4,0,1.2,0,0.4,0,0.4,0.4,0.8,0,0.8,0.4,0.4,0,7.3,0.4,0.4,0,87.4,0,0.4,0,0.8,0,0.4,0,0.4,0.4,0.8,0,0.4,0.4,0.4,0,5,0.8,0.4,0,88.9,0,1.1,0,0.8
2307,Thorns Community Infant School,Warwick,Central,Infant,Primary,0,0.6,0,1.7,3.4,1.7,0,0,0.6,0,0,1.1,0,5.1,0,84.7,0,1.1,0,0,0,0,0,2.2,5.1,2.8,0,0,0,0.6,0,1.7,0,1.7,0,84.8,0,1.1,0,0,0,0,0,2.2,3.9,3.4,0,0,0,0,0,0.6,0,2.8,0,86,0,0.6,0,0.6
2308,Clinton Primary School,Warwick,Central,Primary,Primary,0,0,0,0,1,3.1,0,0,0,0,0,0,0,0.5,0,93.9,0,1.5,0,0,0,0,0,0,1.5,4.1,0,0,0,0.5,0,0,0,0,0,91.9,0,1.5,0,0.5,0,0,0,0,2.4,3.3,0,0,0,1.4,0,0,0,0,0,89,0,1.9,1.4,0.5
2309,Park Hill Junior School,Warwick,Central,Junior,Primary,0,1.6,0,0.8,1.2,1.6,0,0,0.4,0,0,0,0,0,0,92.6,0,1.9,0,0,0,0.8,0,1.2,1.6,2.9,0,0,0.4,0,0,0,0,0,0,91,0,2,0,0,0,0.8,0,0.8,1.6,3.7,0,0,0.4,0.4,0,1.2,0,0,0,86.8,0,4.1,0,0
2312,Clapham Terrace Community Primary School,Warwick,Central,Primary,Primary,0,0.4,0,0,2.2,9,0,1.3,0.4,0,0,9.4,0.4,0,0,73.5,0.4,0.9,0,1.8,0.5,0.9,0,0.5,1.4,8.7,0,1.4,1.4,0.5,0,8.7,0.5,0.5,0,72,0.5,1.4,0,1.4,1.5,1,0,1,3.6,13.4,0,1.5,1,0,0,7.7,0.5,0,0,66,0,1,0,1.5
2315,Telford Junior School,Warwick,Central,Junior,Primary,0,0.9,0,0,1.5,1.8,0,0.9,0,0.6,0,4.4,0,0.6,0,87.4,0,0.6,0.3,1.2,0,1.5,0.3,0,2.1,1.8,0,0.6,0,0.3,0,4.7,0.3,0.6,0,86.8,0,0.3,0,0.9,0,0.9,0.3,0,2.1,3.3,0,0.6,0,0.3,0,5.8,0.3,0.6,0,85.4,0,0,0,0.3
2322,Westgate Primary School,Warwick,Central,Primary,Primary,0.7,3.7,0,4.5,2.2,3.7,0,0.7,0,0,0,0.7,0,1.5,0,81.3,0,0.7,0,0,0,2.4,0,3.3,4.1,4.9,0,0.8,0,0,0,0.8,0,1.6,0,81.3,0,0.8,0,0,0.7,3,0,2.2,9,7.5,0,0.7,0,0,0,1.5,0.7,1.5,0,71.6,0,0.7,0.7,0
2324,Whitnash Primary School,Warwick,Central,Primary,Primary,0,0.9,0,2.8,3.7,0,0,1.9,0,0,0,9.3,0,0.9,0,77.8,0,0.9,0,1.9,0.9,0.9,0,3.5,1.7,0,0,1.7,0,0,0,9.6,0,0,0,79.1,0,2.6,0,0,0.8,0.8,0,2.3,2.3,2.3,0.8,0.8,0,0,0,10.6,0,0.8,0,75,0,3,0,0.8
2325,Newburgh Primary School,Warwick,Central,Primary,Primary,0,0,0,0.6,1.2,0,0.6,0.6,0,0.6,0,0.6,2.5,0,0,91.3,0,1.2,0,0.6,0,0,0,0.6,1.1,1.7,0,0.6,0,0.6,0,1.7,4.5,0,0,87.7,0,0.6,0.6,0.6,0,1,0,0.5,1.5,3.6,0,0.5,0,0.5,0,2,3.6,0,0,85.2,0,1,0,0.5
2326,Telford Infant School,Warwick,Central,Infant,Primary,0.8,0.8,0.4,0,1.5,1.9,0,0,0,0,0,7.6,0,0,0,87.1,0,0,0,0,0,0.8,0,0.4,1.9,1.5,0,0,0,0,0,7.6,0,0,0,87,0,0.4,0,0.4,0,0,0,1.1,2.6,0.7,0,0,0,0,0,8.6,0.4,0,0,85.4,0,0.7,0,0.4
2327,Briar Hill Infant School,Warwick,Central,Infant,Primary,0,0,0,1.1,1.1,1.1,0,0,0,0,0,18.6,0,0.8,0,73.8,0.4,1.9,0,1.1,0,0,0,0.4,0.7,0.7,0,0,0.4,0,0,21,0.4,1.5,0,71.2,0.4,1.5,0,1.9,0,0,0,0.4,0.4,0.7,0,0,0.4,0,0,19.6,0.4,2.2,0,71.1,0.4,1.5,0,3
2329,Budbrooke Primary School,Warwick,Central,Primary,Primary,0,0,0,0.8,3.4,1.1,0,0,0,0,0,1.9,0.4,0,0,92.4,0,0,0,0,0.7,0,0,0.4,1.5,1.1,0,0,0,0,0,1.1,0.4,0,0,94.9,0,0,0,0,0,0,0,0.4,1.8,1.1,0,0,0,0,0,2.2,1.1,0,0,93.1,0,0,0.4,0
2330,Brookhurst Primary School,Warwick,Central,Primary,Primary,0,0.3,0,0,1.9,1.9,0,0,0.3,0,0,4.9,0,1.1,0,86.6,0.3,1.4,0.3,1.1,0,0.3,0,0,1.6,3.2,0,0.3,0.3,0,0,4.6,0.3,0.8,0,84.4,0.3,3,0.3,0.8,0,0,0,0.3,1.4,3.8,0,0.5,0,0.3,0,3.8,0.3,0.5,0,84.6,0,3.3,0.3,0.8
2332,Emscote Infant School,Warwick,Central,Infant,Primary,0,0,0,0.8,1.6,4.1,0,0.8,0,0,0,4.1,0,0,0,83.6,0.8,1.6,0,2.5,0,0,0,0,1.3,3.1,0,0.6,0,0.6,0,3.8,0,0,0,86.8,0.6,0,0.6,2.5,0,0,0,0,1.9,0.6,0,0.6,0,0,0,3.2,0,0,0,92.9,0,0,0,0.6
2405,Long Lawford Primary School,Rugby,Eastern,Primary,Primary,0,0.5,0.5,0,0,4.8,0,0,0,1.4,0,0,0,0,0,92.3,0.5,0,0,0,0,1.5,0,0,0,5.6,0,0,0,1.5,0,0,0,0,0,90.4,0.5,0,0.5,0,0,1.4,0,0,0.5,6.2,0,0,0,1.4,0,0,0,0,0,89.5,0.5,0,0.5,0
2410,Abbots Farm Infant School,Rugby,Eastern,Infant,Primary,0,0,0,0.7,0,1.4,0,0,0,0,0,0.7,0,0,0,95.8,0,0.7,0,0.7,0,0,0,0.8,0,1.6,0,1.6,0,0,0,0.8,0,0,0,91,0,0.8,0.8,2.5,0.8,0,0,1.5,0,3,0,2.3,0,0,0,1.5,0,0,0,85.7,0,1.5,0,3.8
2415,Eastlands Primary School,Rugby,Eastern,Primary,Primary,0,0,0,0,0,3.9,0,1.5,0.5,0,0,2.5,0,1,0,88.7,0,0.5,0,1.5,0,0,0,0.5,0,3.5,0,2,1.5,0,0,3.5,0.5,1.5,0,85,0,0,0,2,0,0,0,0.5,0,3.3,0,1.9,1.4,0.5,0,2.9,0.5,0.5,0,83.3,0,1,0.5,3.8
2417,Northlands Primary School,Rugby,Eastern,Primary,Primary,0,2.8,2,1.6,2.4,4.3,0.4,1.6,2.4,0.4,0,9.5,8.3,1.2,0,51.8,0.8,2,0.8,7.9,0,1.7,2.1,1.7,3.4,5.2,0.9,1.7,3,0.4,0,7.3,9.9,0.4,0,50.6,0.9,2.1,0.9,7.7,0,1.7,3,2.2,3.9,4.8,0.9,2.6,3.5,0.4,0,8.2,8.7,0,0,49.4,0.9,1.7,0.9,7.4
2419,Oakfield Primary School,Rugby,Eastern,Primary,Primary,0,0,0,2.3,2.3,5.7,0,2.3,0,0,0,2.3,0,1.1,0,77.3,0,1.1,1.1,4.5,0.6,0,0,1.7,5.2,4.6,0,2.9,0,0,0,2.3,0,0.6,0,75.7,0,2.3,1.2,2.9,0,0,0,2.2,4.9,7.1,0,1.6,0,1.1,0,2.2,0,0,0,74.5,0,1.6,1.6,3.3
2420,Bilton Infant School,Rugby,Eastern,Infant,Primary,0,3.2,0,1.3,0.6,1.3,0,0,0,0,0,2.5,0,0,0,90.4,0,0,0,0.6,0,1.8,0,0,1.8,0.6,0.6,0.6,0,0,0,1.2,0,1.2,0,91.1,0,0.6,0,0.6,0,2.3,0,0.6,0.6,1.1,0.6,0.6,0,0.6,0,1.7,0,1.1,0,88.1,0,2.8,0,0
2421,Abbots Farm Junior School,Rugby,Eastern,Junior,Primary,0,0,0,0.4,0.4,1.2,0,0,0,0,0,3.2,0,0.4,0,90.9,0,2.4,0.4,0.8,0,1.2,0,0.4,0,2.4,0,0,0,0,0,2.4,0.4,0,0,88.8,0,3.2,0.8,0.4,0.4,0,0,0.4,0,2.6,0,0,0,0,0,2.2,0.9,0,0,88.2,0,3.5,1.3,0.4
2423,Bawnmore Infant School,Rugby,Eastern,Infant,Primary,0,1.7,0,0,1.7,1.7,0,0,0,0.6,0,0.6,1.1,0.6,0.6,88.5,0,1.7,0,1.1,0,1.7,0,0,2.3,1.7,0,0,0,0,0,1.1,0,0,0,89.1,0,2.9,0,1.1,0,2.8,0,0,1.7,3.4,0,0,0,0,0,2.2,0,0,0,86,0,2.2,0,1.7
2424,Henry Hinde Infant School,Rugby,Eastern,Infant,Primary,0.6,1.3,0,0,0,3.8,0,0,0.6,1.3,0,0,0,3.2,0,84.7,0,0,1.3,3.2,0,1.2,0,0,0,2.9,0,0.6,0.6,0.6,0,0,1.2,1.2,0,88.3,0,0,1.2,2.3,0,0.6,0,0,0.6,1.7,0,0.6,1.7,0,0,0.6,1.1,2.3,0,86.9,0,1.1,1.1,1.7
2502,Curdworth Primary School,North Warwickshire,North Warwickshire,Primary,Primary,0,1,2.1,1,0,3.1,0,0,1,0,0,0,0,0,0,91.8,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0.9,0,0,0,0,1.9,0,0,0.9,0,0,0,94.4,1.9,0,0,0
2569,High Meadow Infant School,North Warwickshire,North Warwickshire,Infant,Primary,0,0,0,0,0,2.8,0,0,0,0,0,0,0,1.4,0,93,0,0,1.4,1.4,0,0,0,0,0,2.7,0,0,0,0,0,0,0,1.4,0,91.9,1.4,0,0,2.7,0,0,0,0,2.4,3.7,0,0,1.2,0,0,0,0,2.4,0,85.4,1.2,0,0,3.7
2571,St. Giles Junior School,Nuneaton and Bedworth,Nuneaton & Bedworth,Junior,Primary,0,0.5,0,0,1,0,0,1,1.5,0,0,20.9,1.5,0,0,70.6,0,2,0,1,0,0.5,0,0,1,0,0,1,1.5,0,0,20.3,2,0,0,70.3,0,2.5,0,1,0,1,0,0,1,1,0,2.9,0.5,0,0,20.1,2,0,0,68.6,0,2.9,0,0
2577,Oakfield Junior School,North Warwickshire,North Warwickshire,Junior,Primary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.4,0,0,0.5,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.8,0,0,0.6,0.6,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,96.7,0,1.1,0.5,0.5
