ESTAB,School name,District,Education Area,Type,Phase,2008 Information Not Yet Obtained,2008 Any Other Asian Background,2008 Any Other Black Background,2008 Any Other Ethnic Group,2008 Any Other Mixed Background,2008 Any Other White Background,2008 Bangladeshi,2008 Black - African,2008 Black Caribbean,2008 Chinese,2008 Gypsy / Roma,2008 Indian,2008 Pakistani,2008 Refused,2008 Traveller of Irish Heritage,2008 White - British,2008 White - Irish,2008 White and Asian,2008 White and Black African,2008 White and Black Caribbean,2009 Information Not Yet Obtained,2009 Any Other Asian Background,2009 Any Other Black Background,2009 Any Other Ethnic Group,2009 Any Other Mixed Background,2009 Any Other White Background,2009 Bangladeshi,2009 Black - African,2009 Black Caribbean,2009 Chinese,2009 Gypsy / Roma,2009 Indian,2009 Pakistani,2009 Refused,2009 Traveller of Irish Heritage,2009 White - British,2009 White - Irish,2009 White and Asian,2009 White and Black African,2009 White and Black Caribbean,2010 Information Not Yet Obtained,2010 Any Other Asian Background,2010 Any Other Black Background,2010 Any Other Ethnic Group,2010 Any Other Mixed Background,2010 Any Other White Background,2010 Bangladeshi,2010 Black - African,2010 Black Caribbean,2010 Chinese,2010 Gypsy / Roma,2010 Indian,2010 Pakistani,2010 Refused,2010 Traveller of Irish Heritage,2010 White - British,2010 White - Irish,2010 White and Asian,2010 White and Black African,2010 White and Black Caribbean
2581,Chetwynd Junior School,Nuneaton and Bedworth,Nuneaton & Bedworth,Junior,Primary,0,1,0,0.3,0.8,1,0,0.5,0.3,0,0,3.3,0.3,0.3,0,90.8,0.3,0.5,0,0.8,0,0.3,0,0,1.1,1.4,0,0.5,0.3,0,0,2.7,0.5,6.8,0,84.6,0,1.1,0,0.8,0,0.3,0,0,1.2,1.2,0,0.6,0.3,0,0,3.2,0,6.7,0,85.2,0,0.6,0,0.9
2585,Glendale Infant School,Nuneaton and Bedworth,Nuneaton & Bedworth,Infant,Primary,0,0,0,0.5,0.5,0.9,0,0,0,0.9,0,4.5,0.5,0.5,0,90.5,0,0.5,0,0.9,0,0.4,0,0,0.4,1.3,0,0,0,0.9,0,5.2,0,0.4,0,89.5,0,0,0.4,1.3,0,0.5,0,0,0,0.9,0,0,0,1.4,0,2.7,0,0.5,0,91.8,0,0,0.9,1.4
2588,Henry Hinde Junior School,Rugby,Eastern,Junior,Primary,0,0.7,0.4,0.4,2.2,2.2,0,0.4,0,0.7,0,2.2,0,0.4,0,86,0.7,1.5,0,2.2,0,0.7,0.4,0.4,1.5,1.5,0,0.4,0,0.4,0,1.1,0.4,0.4,0,88.2,0.7,1.1,0.4,2.6,0,1.1,0.4,0,1.5,2.3,0,0,0,0.8,0,1.1,0.4,0,0,87.5,0.8,1.1,0.4,2.7
2590,Boughton Leigh Junior School,Rugby,Eastern,Junior,Primary,0,0.7,0.3,0.3,1.4,3.1,0,1.4,0.3,0.3,0,3.5,0.3,0,0,85.1,0,0.3,0.7,2.1,0,1,1,0,2.4,3.4,0,1.4,0,0,0,4.5,0.7,0,0,82.4,0,0.7,1,1.4,0,0,0,0.3,1.7,2,0,0,1.3,0,0,6,0,0.3,0,85.4,0,0,1.7,1.3
2594,Herbert Fowler Junior School,North Warwickshire,North Warwickshire,Junior,Primary,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,97.2,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.8,0,2.2,0,0
2598,Boughton Leigh Infant School,Rugby,Eastern,Infant,Primary,1.8,0.6,2.4,0.6,4.1,5.9,0.6,2.4,0,0,0,1.8,0,0,0,78.8,0,0,0,1.2,3,1.8,0.6,0,3.6,5.3,0.6,1.2,0,0,0,0.6,0.6,0,0,80.5,0,0,0.6,1.8,4.6,1,0.5,0.5,2.1,5.1,0,3.1,0.5,0,0,1.5,0.5,0,0,77.9,0,0,0.5,2.1
2601,Croft Junior School,Nuneaton and Bedworth,Nuneaton & Bedworth,Junior,Primary,0,1.9,0.3,0.3,0.3,0,0,0.6,0.3,0.6,0,3.4,1.2,0,0,89.4,0,0.6,0.3,0.6,0,2,0.3,0.7,0,0,0,0,0,1,0,3,0.3,0,0,91,0,0.7,0.3,0.7,0,1.7,0,1,1,0.7,0,0,0,0.3,0,3.5,0.3,0,0,90.2,0,0.3,0.3,0.3
2603,Bishopton Primary School,Stratford on Avon,Southern,Primary,Primary,0.7,0,0,4.3,0,7.2,0,0,0,0,3.6,0,0,0,0,84.2,0,0,0,0,0,0.7,0,5.5,0,6.9,0,0,0,0,13.8,0,0,0,0,73.1,0,0,0,0,0,0.7,0,6.5,0,4.3,0,0,0,0,11.5,0,0,0,0,77,0,0,0,0
2605,Priors Field Primary School,Warwick,Central,Primary,Primary,0,0.5,0,0,1.9,3.3,0,0,0,0.9,0,0,0.5,1.4,0,90.1,0,0.9,0.5,0,0,0,0,0,1.9,4.3,0,0,0,0.5,0,0,0.5,1.4,0,90,0,0.5,0.5,0.5,0,0,0,0,1.4,5.6,0,0,0,0.9,0,0,0.9,0.9,0,88.3,0,0.5,0.5,0.9
2606,Milverton Primary School,Warwick,Central,Primary,Primary,0.3,0.6,1,0,2.6,8.4,0.3,0.3,0,1.3,0,5.1,0.3,0.3,0,75.2,1.3,1.6,0.6,0.6,0,0.3,0.6,0,2.4,8,0.3,0.3,0,0.6,0,4.3,0.9,0,0,78.6,0.9,1.5,0.6,0.6,0,0.3,0.6,0,2.5,6.6,0.3,0.3,0,0,0,3.4,0.9,0.3,0,81.6,0.9,1.3,0.6,0.3
2610,Temple Herdewyke Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,2.8,0,1.4,0,0,0,0,0,0,0,11.3,0,83.1,0,0,0,1.4,0,0,0,2.6,0,0,0,0,0,0,0,0,0,6.6,0,86.8,0,1.3,0,2.6,0,0,1.3,1.3,0,0,0,0,0,0,0,0,0,0,0,94.8,0,1.3,0,1.3
2613,Keresley Newland Primary School,Nuneaton and Bedworth,Nuneaton & Bedworth,Primary,Primary,0,0,0,0,1.1,5.7,0,1.7,1.1,0,0,2.3,0.6,0,0,85.1,0.6,0,0.6,1.1,0,0,0,0,0.6,7.2,0,0.6,0.6,0,0,2.2,0.6,0,0,86.7,0.6,0,0.6,0.6,0,0.5,0,0,2,7.1,0,1.5,0,0,0,1.5,1,0,0,84.8,0,0,1,0.5
2614,Race Leys Infant School,Nuneaton and Bedworth,Nuneaton & Bedworth,Infant,Primary,0.6,0,0,0,0.6,1.1,0,0.6,0,0,0,2.2,0.6,0,0,91.7,0,0.6,0.6,1.7,0,0,0,0,0.5,1.6,0,0.5,0,0,0,0.5,0.5,0,0,94,0,0.5,0.5,1.1,0,0,0,0,0,2.1,0,0,0,0,0,1.6,0,0,0,94.2,0,0.5,0,1.6
2615,Race Leys Junior School,Nuneaton and Bedworth,Nuneaton & Bedworth,Junior,Primary,0,0,0,0,0.8,1.2,0,0.4,0,0,0,0.8,0,0,0,94.1,0.4,1.2,0.4,0.8,0,0,0,0,0,0,0,0.4,0,0,0,1.6,0,0,0,93.6,0,2.4,0.4,1.6,0,0.9,0,0,1.3,0,0,0.4,0,0,0,2.2,0,0,0,92.6,0,1.3,0.4,0.9
2616,Brownsover Community School,Rugby,Eastern,Infant,Primary,0,0,0,0,0.5,4.1,0,1.5,0.5,2,0,5.6,2,0,0,81.2,0,0.5,0,2,0,1.1,0,0,1.1,6.3,0,1.6,0.5,2.1,0,5.3,1.6,0,0,77.8,0,0.5,0,2.1,0,1.5,0.5,0,2.5,10.6,0,1,0.5,1.5,0,2.5,1.5,0,0,74.9,0,1,0,2
2617,Racemeadow Primary School,North Warwickshire,North Warwickshire,Primary,Primary,0,0,0,0,0,0.7,0,0,0,1.7,0,0.3,0,0,0,97,0,0,0,0.3,0,0.4,0,0,0,0.7,0,0,0,0.7,0,0.4,0,0,0,97.2,0,0.4,0,0.4,0,0.4,0,0,0,0.7,0,0,0,0.7,0,0.4,0,0,0,97.1,0,0.4,0,0.4
2618,Water Orton Primary School,North Warwickshire,North Warwickshire,Primary,Primary,0,0,0.6,0.3,0.6,0,0,0,0,0,0,0.3,0,9.2,0,86.9,1,0,0.6,0.3,1.3,0,0.3,0.6,0.3,0,0,0,0,0,0,0.3,0,8.4,0,86.8,0.6,0,0.6,0.6,0,0,0.3,0.6,1.6,0.6,0,0,0.3,0,0,0.3,0.3,8.3,0,84.7,0.6,0,0,2.2
2619,Birchwood Primary School,North Warwickshire,North Warwickshire,Primary,Primary,0,0.2,0.7,0,0,0.7,0,0,0,0,0,0,0,0,0,97.3,0,0.7,0,0.2,0,0.3,1,0,0,0.8,0,0,0,0,0,0,0,0,0,97.5,0,0.5,0,0,0,0.2,1,0,0.2,0.7,0,0,0,0,0,0,0,0,0,97,0,0.7,0,0
2620,"St. John's Primary School, Nursery and Children's Centre",Warwick,Central,Primary,Primary,0,0,0,0,3.2,3.6,0,0,0,0.9,0,0.5,0.5,0,0,91,0.5,0,0,0,0.4,0,0,0,2.2,3.9,0,0,0,0,0,0.9,0.9,0.4,0,90.9,0.4,0,0,0,0.8,0.4,0,0.4,1.3,5,0,0,0,0,0,0.8,0.8,0.8,0,88.3,0.4,0.4,0.4,0
2621,Lillington Nursery and Primary School,Warwick,Central,Primary,Primary,0,0,0,0,0,0.7,1.4,1.4,0,0,0,2.8,1.4,0,0,84.7,0,0.7,0,6.9,0,0,0,0,0,1.5,1.5,1.5,0,0,0,1.5,0,0,0,85.8,0,1.5,0,6.7,0,1.1,0,0,0.5,3.7,1.1,0,0.5,0,0,2.1,0,0,0,81.3,0.5,2.1,0.5,6.4
2622,Sydenham Primary School,Warwick,Central,Primary,Primary,0,0,0,2,2.4,13.7,0,2,0.5,0,0,20.5,0,0,0,52.2,0,2.9,0,3.9,0,0.5,0,2.9,1,14.2,0,2.9,0,0,0,19.1,0.5,0,0,52.9,0,2.9,0,2.9,0,0.5,0,1.5,1.5,12.2,0,4.6,0,0,0,21.8,0.5,0,0,53.3,0,1.5,0,2.5
2623,Coten End Primary School,Warwick,Central,Primary,Primary,0,1.1,0,0.7,2.3,1.6,0,0.2,0,1.1,0,5,0.9,0,0,82.5,0.5,3,0.2,0.9,0,2.3,0.5,0.7,1.6,2.3,0,0.5,0,0.7,0,6.1,0.9,0,0,80,0.5,3,0.5,0.7,0,2.5,0.5,0.9,0.7,1.6,0,0.5,0,0.5,0,7.3,1.1,0,0,80.8,0.5,2.1,0.5,0.7
2624,Southam Primary School,Stratford on Avon,Central,Primary,Primary,0,0.4,0,0.4,0,2.4,0,0,0,0.4,0,0,0,2,0,93.7,0,0.8,0,0,0,0.4,0.8,0,1.2,2.4,0,0,0,0,0,0,0,1.6,0,92.9,0,0.8,0,0,0,0,0.8,0,1.2,2.3,0,0,0,0,0,0,0,1.2,0,93.4,0,0.4,0.4,0.4
2625,Paddox Primary School,Rugby,Eastern,Primary,Primary,0,0.7,0,1.5,1.5,0.7,0,0.5,0,0,0,3,0.7,1,0,87.2,0,2.2,0.5,0.5,0,0.5,0,1.2,1.9,2.2,0,0.2,0,0.2,0,2.9,1,0.7,0,85.7,0,2.4,0.5,0.5,0,0.7,0,0.5,1.4,3.9,0,0.2,0,0.7,0,3.1,1,0.2,0,84.3,0,2.4,0.5,1
2626,Binley Woods Primary School,Rugby,Eastern,Primary,Primary,0,0,0,1.4,0.5,0.5,0,0,0,0,0,3.9,1.4,1.9,0,88.9,0,1,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,0,4.6,0.5,1.5,0,89.3,0,1.5,0,1,0,0,0,0.5,0.5,0.5,0,0,0,0,0,5.3,0,1.5,0.5,86.9,0,2.9,0,1.5
2627,Newbold Riverside Primary School,Rugby,Eastern,Primary,Primary,0,0,0,0,0,3.1,0,0.5,0,0,0,1,0,0,0,90.7,0.5,0,0,4.1,0,0,0,0,0,4.1,0,0.5,0,0,0,0.9,0,0,0,83.7,0.5,0.9,0,9.5,0,0.5,0,0,0,5.9,0,1,0,0,0,1,0,0,0,84.9,0.5,1.5,0,4.9
2628,Hillmorton Primary School,Rugby,Eastern,Primary,Primary,0,1,0,0.5,0.5,1.5,1.5,0,1.5,0,0,0,1,0,0,89,0,0,1,2.5,0,0.5,0.5,0,1.5,1,1,0,0,0,0,0,0.5,0,0,92.3,0,0,0.5,2.1,0,0.5,0.5,0,2,1,0.5,0.5,0,0,0,0.5,0,0,0,92.4,0,0,0.5,1.5
2629,Wembrook Primary School,Nuneaton and Bedworth,Nuneaton & Bedworth,Primary,Primary,0,2.7,0,0,0.7,0.7,0,0,0,0,0,11,0.8,0,0,82.5,0,0.3,0,1.3,0,3.2,0,0,0.3,0.5,0,0,0,0,0,14.3,1.9,0,0,77.7,0,0.5,0.2,1.4,0,3.7,0,0,0.6,0.6,0,0.2,0.2,0,0,15.9,1.9,0,0,74.8,0,0.5,0.2,1.6
2630,Arden Forest Infant School,Nuneaton and Bedworth,Nuneaton & Bedworth,Infant,Primary,0.6,4.3,0,0,0.6,1.2,0,0,0,0,4.3,1.2,0,0,0,85.9,0,0,0.6,1.2,0,4.7,0,0,0.6,0.6,0,0,0,0,3,3,0,0,0,86.4,0,0,0.6,1.2,0,2.9,0,0,1.7,1.1,0,0.6,0,0,2.3,2.9,0,0,0.6,85.7,0,0.6,0.6,1.1
2631,Milby Primary School,Nuneaton and Bedworth,Nuneaton & Bedworth,Primary,Primary,0,1,0,0.7,1.4,0.7,0,0.7,0,0.2,0,3.8,0.7,0.7,0,89.1,0,0.5,0,0.5,0,1.7,0,0.2,2.2,1,0,0.5,0,0,0,4.3,1,0.2,0,87.5,0,0.7,0,0.7,0,1.2,0,0.2,1.9,0.7,0,0.2,0,0,0,5.1,1.5,0.2,0,87.4,0.2,0.7,0.2,0.2
2632,Weddington Primary School,Nuneaton and Bedworth,Nuneaton & Bedworth,Primary,Primary,0,1.6,0,0.5,2.1,0.3,0,0,0,0.3,0,1.3,1.3,0,0,91.6,0,0.5,0,0.5,0,3.3,0,0.3,1.8,0.3,0,0,0,0.3,0,1.8,1,0,0,88.2,0,1.5,0,1.5,0,4.3,0,0,1.3,1.1,0,0,0,0,0,1.9,0.5,0,0,88,0,1.3,0,1.6
2633,Newdigate Primary School and Nursery,Nuneaton and Bedworth,Nuneaton & Bedworth,Primary,Primary,0,0,0,1.6,0,1.6,0,0,0,0,0,0.8,0,0,0,94.7,1.2,0,0,0,0,0,0,0,0.4,2.6,0,0.9,0,0,0,0.9,0,0,0,94.4,0.9,0,0,0,0,0,0,0,0.8,2.5,0,0.8,0,0,0,0.8,0,0,0,94.9,0,0,0,0
2634,Goodyers End Primary School,Nuneaton and Bedworth,Nuneaton & Bedworth,Primary,Primary,0,2.2,0.3,0.3,1.9,1.6,0,0,0.3,0,0,4.1,0.3,0,0,88.3,0,0,0,0.6,0,1.5,0.3,1.5,1.8,1.5,0,0,0.3,0,0,4.6,0.6,0,0,86.8,0,0.6,0,0.3,0,1.2,0,1.2,1.6,2.2,0,0,0.3,0.3,0,4.3,1.2,0,0,86,0,1.2,0,0.3
2635,Exhall Cedars Infant School,Nuneaton and Bedworth,Nuneaton & Bedworth,Infant,Primary,1.2,6.1,0.6,0.6,1.2,1.8,0,1.2,0.6,0,0,18.4,0,0,0.6,64.4,0,1.8,0,1.2,0,5.2,1,1.6,1.6,3.6,0,2.1,0.5,0,0,17.2,0.5,0,0,65.1,0,1.6,0,0,0,8.3,2,1,2,3.4,0,3.4,0.5,0,0,16.6,0.5,0,0,60,0,2.4,0,0
2636,Park Lane Primary School,Nuneaton and Bedworth,Nuneaton & Bedworth,Primary,Primary,0,0,0,0.3,1.9,0.3,0,0,0,0,0,0.5,0,0,0,95.3,0,0.8,0,0.8,0,0,0,0.3,1.4,0.8,0,0,0,0,0,0.6,0,0,0,96.1,0,0.3,0,0.6,0,0.3,0.3,0.3,1.8,1.8,0,0.3,0,0,0,0,0,0,0,93.6,0,0.6,0,0.9
2637,Shrubland Street Community Primary School,Warwick,Central,Primary,Primary,3,1.2,0.6,0.6,1.2,1.8,0,0,0.6,0,0,15.4,0,0,0,74,0,0.6,0.6,0.6,0,2.6,0,0.7,0.7,1.3,0,0.7,0,0.7,0,11.9,0,0,0,76.2,0,1.3,0,4,0,2.2,0,0.7,0,2.2,0,1.4,0,0.7,0,11.5,0,0,0,74.8,0,2.9,0,3.6
2638,Kingsway Community Primary School,Warwick,Central,Primary,Primary,0,0.9,0,0,1.8,4.5,0,0,0.9,0,0,19.1,6.4,0,0,64.5,0,0.9,0,0.9,0,2.9,1.9,0,1.9,5.7,0,0,1,0,0,15.2,3.8,0,0,63.8,0,1,1.9,1,0,2.6,1.7,0,4.3,4.3,0,0.9,0.9,0,0,17.2,2.6,0,0,62.1,0,0.9,0.9,1.7
2639,Acorns Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,4.3,2.1,0,0,0,0,0,0,0,0,0,93.6,0,0,0,0,0,0,0,0,4.8,2.4,0,0,0,0,0,0,0,0,0,92.9,0,0,0,0,0,0,0,0,5.4,1.8,0,0,0,0,0,0,0,0,0,92.9,0,0,0,0
2640,Camp Hill Primary School,Nuneaton and Bedworth,Nuneaton & Bedworth,Primary,Primary,0,1.7,0,0,0.7,0,0,0,0,0,0,0,0,0,0,97.2,0,0,0,0.3,0,1.8,0,0.4,0.7,0,0,0,0,0,0,0,0,0,0,96.7,0,0,0,0.4,0,1.4,0,0,1.7,0.7,0,0,0,0,0,0.3,0.7,0,0,94.9,0,0,0,0.3
2641,St. Michael's C.Of E. Primary School,Nuneaton and Bedworth,Nuneaton & Bedworth,Primary,Primary,0.5,1,0,0,0,1.5,0,2,0,0,0,0,0,0,0,94,0,0,0,1,0,1.4,0,0,0,0.9,0,0.5,0,0,0,0.9,0,0,0,94.4,0,0.9,0,0.9,0,1.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,96.1,0,1,0,0.5
2642,Woodside C.Of E. Primary School,North Warwickshire,North Warwickshire,Primary,Primary,0,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,99.2,0,0,0,0,0,0,0,0,0.5,0.9,0,0,0,0,0,0,0,0,0,97.2,0.5,0.5,0,0.5,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,96.6,0.5,1,0,0.5
3002,Alveston C.Of E. Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0.7,0.7,7.3,0,0,0,0,0,3.6,0,0.7,0,83.9,0,0,2.2,0.7,0.7,0,0,0,0.7,7.4,0,0,0,0,0,3.4,0,0,0,85.2,0,0,2,0.7,0,0,0,0,0,9.1,0,0,0,0,1.8,1.2,0,0,0,86.1,0,0,1.8,0
3007,Austrey C.Of E. Primary School,North Warwickshire,North Warwickshire,Primary,Primary,0,0,0,0,1.9,0,0,0,0,0,0,0,0,5.8,0,91.3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3.9,0,94.1,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,3.8,0,94.2,0,0,0,0
3011,Bidford-On-Avon C.Of E. Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0.8,0,0.8,1.9,0,1.2,0,0,4.6,0,0,2.3,0.4,86.9,0,0.4,0.4,0.4,0,0,0.4,0,0.4,2.2,0,0,0,0,3.7,0,0,2.6,0.4,89.6,0,0.4,0.4,0,0,0,0.3,0,0.3,3.1,0,0,0,0,4.5,0,0,2.4,0,88.6,0,0,0.3,0.3
3014,Brailes C.Of E. Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,95.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,96.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,96.5,0,0,0,0
3015,St. James C.Of E. Junior School,Nuneaton and Bedworth,Nuneaton & Bedworth,Junior,Primary,0,0.4,0,3,0.9,0.4,0,0,0.4,0,2.6,0,0,0,0,92.2,0,0,0,0,0,0,0,2.7,2.3,0.5,0,0,0.5,0,4.1,0.5,0,0,0.5,89.1,0,0,0,0,0,0.9,0,1.8,1.8,0.9,0,0,0.9,0,3.6,0.9,0,0,0,89.1,0,0,0,0
3021,Coughton C.Of E. Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,0.7,1.4,0,0,0,0,0,2.2,0,2.2,0,89.9,0.7,2.9,0,0,0,0,0,0,1.5,0.7,0,0,0,0,0,2.2,0,3.7,0,88.2,0.7,2.9,0,0,0,0,0,0,1.5,0.7,0,0,0,0,0,2.2,0,3.7,0,88.8,0.7,2.2,0,0
3024,Ettington C.Of E. Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,0.7,0.7,0,0,0,0,0,0,0,0,0,97.4,0,1.3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,96.6,0,1.4,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,96.8,0,1.3,0,0
3031,Hampton Lucy C.Of E. Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,97.9,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,95,0,0,0,1,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,95.9,0,0,0,1
3032,Harbury C.Of E. Primary School,Stratford on Avon,Central,Primary,Primary,0,0,0,0,2.6,0.5,0,0,0,0,0,0,0,0,0,95.9,0,1,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,95.9,0,1,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,95.4,0,1,0,0
3035,Ilmington C.Of E. Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,1.9,1,1,0,0,0,0,0,0,0,1,0,95.2,0,0,0,0,0,0,0,1.8,0.9,0,0,0,0,0,0,0,0,0.9,0,96.5,0,0,0,0,12.8,0,0,1.8,0.9,0,0,0,0,0,0,0,0,0,0,84.4,0,0,0,0
3040,Loxley C.Of E. Community Primary School,Stratford on Avon,Southern,Primary,Primary,0,2.6,0,0,0,0,0,0,0,0,0,0,0,2.6,0,92.3,0,0,0,2.6,0,2.9,0,0,0,0,0,0,0,0,0,0,0,2.9,0,94.3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,88,0,0,0,0
3041,Mappleborough Green C.Of E. Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,0,0,0,0,0,0,0,1.8,0,1.8,0,95.5,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0.8,0,96.6,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.9,0,97.4,0,0,0,0.9
3047,Newton Regis C.Of E. Primary School,North Warwickshire,North Warwickshire,Primary,Primary,0,0,0,0,0.8,0,0,0,0,0,5.9,2.5,0,0,0,90.8,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0.9,2.7,0,0,0,95.5,0,0,0,0,0,0,1.6,0,0.8,0,0,0,0.8,0,2.5,2.5,0,0,0,91.8,0,0,0,0
3056,Salford Priors C.Of E. Primary School,Stratford on Avon,Southern,Primary,Primary,2.1,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,95.8,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,94.8,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,94.8,0,0,0,0
3057,Shottery St. Andrew's C.Of E. Primary School,Stratford on Avon,Southern,Primary,Primary,0,1.5,0,0,1.5,5.9,0,0,0,0,0,2.9,0,0,0,75,0,8.8,2.9,1.5,0,1.4,0,0,0,4.3,0,0,0,2.9,0,2.9,0,0,0,76.8,0,7.2,2.9,1.4,0,1.3,0,0,1.3,1.3,0,0,0,2.7,0,1.3,0,0,0,82.7,0,5.3,2.7,1.3
3066,Temple Grafton C.Of E. Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,0.9,4.7,0,0,0,0.9,0,1.9,0,0,0,91.5,0,0,0,0,0,0,0,0,1.9,3.8,0,0,0,1,0,1.9,0,0,0,91.3,0,0,0,0,0,1,0,0,0,3.9,0,0,0,1,0,1,0,0,0,91.2,0,0,0,2
3068,Tysoe C.Of E. Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,0.5,3.1,0,0,0,0,0,0,0,1,0,94.3,0,0,0,1,0,0,0,0,0.5,3.6,0,0,0,0,0,0,0,0.5,0,94.4,0,0,0,1,0,0,0,0,1,4.5,0,0,0,0,0,0,0,0,0,93.5,0,0,0,1
3072,Warton Nethersole's C.Of E. Primary School,North Warwickshire,North Warwickshire,Primary,Primary,0,1.5,0,0,0,1.5,0,0,0,0,0,1.5,0,1.5,0,94,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,1.4,0,1.4,0,95.7,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,1.6,0,0.8,0,96.1,0,0,0,0
3073,Wellesbourne C.Of E. Primary School,Stratford on Avon,Southern,Primary,Primary,0,0.3,0,0,0,0.9,0,0,0,0,0,0.9,0.9,0,0,96.7,0,0,0,0.3,0,0.3,0,0,0,1.5,0,0,0,0,0,0.9,0.9,0,0,96.1,0,0,0,0.3,0,0.3,0,0.6,0.3,1.5,0,0,0,0,0,0,0.9,0,0,96.2,0,0,0,0.3
3074,Wootton Wawen C.Of E. Primary School,Stratford on Avon,Southern,Primary,Primary,0,0.6,0,0,0.6,0.6,0,0,0,1.2,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,2.4,0,0,0,1.2,0,0,0,0,0,95.9,0.6,0,0,0,0,0,0,0,0,1.8,0,0,0,1.2,0,0,0,0,0,95.7,1.2,0,0,0
3101,"All Saints C.Of E. Primary School, Nuneaton",Nuneaton and Bedworth,Nuneaton & Bedworth,Primary,Primary,18.5,0,0.7,0,2.7,0.7,0,0.7,0,0.7,3.4,0.7,0,0,3.4,67.8,0,0,0.7,0,8.4,0.7,0,0,2.1,2.1,0,1.4,0,0.7,3.5,0.7,0,0.7,2.8,76.2,0,0,0.7,0,1.4,0,0,0,4.8,2.7,0,1.4,0,1.4,3.4,2.1,1.4,0.7,4.1,76,0,0,0.7,0
3103,Abbey C.Of E. Infant School,Nuneaton and Bedworth,Nuneaton & Bedworth,Infant,Primary,0.6,1.1,0.6,0.6,2.2,0,0,1.7,0,5.6,0,2.8,0,0,0,83.8,0,0.6,0.6,0,0.5,0,1,7.5,2.5,1,0,1,0,1.5,0,2.5,0,0,0,82.1,0,0,0.5,0,1.6,0,0,6,3.3,2.7,0,1.1,0,0.5,0,2.2,0,0,0,82,0,0,0.5,0
3106,"St. Paul's C.Of E. Primary School, Nuneaton",Nuneaton and Bedworth,Nuneaton & Bedworth,Primary,Primary,0,0.2,0,0,0.4,0.9,0,0,0,0,0,0,0.7,0,0,96.7,0.2,0.2,0,0.7,0,0.2,0,0,0.2,1.1,0,0.2,0,0,0,0,0.6,0,0,96.3,0.2,0.2,0,0.9,0,0.2,0,0.2,0.4,1.1,0,0,0,0,0,0,0.6,0,0,96.1,0,0.4,0,0.9
