ESTAB,School Name,District,Education Area,Type,Phase,2008 Information not obtained,2008 Believed to be English,2008 Believed to be Other than English,2008 Chinese,2008 English,2008 French,2008 Greek,2008 Other than English,2008 Polish,2008 Portuguese,2008 Refused,2008 Romanian,2008 Thai,2009 Information not obtained,2009 Believed to be English,2009 Believed to be Other than English,2009 Chinese,2009 English,2009 French,2009 Greek,2009 Other than English,2009 Polish,2009 Portuguese,2009 Refused,2009 Romanian,2010 Information not obtained,2010 Acholi,2010 Afrikaans,2010 Akan/Twi-Fante,2010 Amharic,2010 Arabic,2010 Believed to be English,2010 Believed to be Other than English,2010 Bemba,2010 Bengali,2010 British Sign Language,2010 Bulgarian,2010 Burmese/Myanma,2010 Caribbean Creole French,2010 Chinese,2010 Classification Pending,2010 Czech,2010 Danish,2010 Dutch/Flemish,2010 Ebira,2010 English,2010 Estonian,2010 Finnish,2010 French,2010 Gaelic (Scotland),2010 German,2010 Greek,2010 Guarani,2010 Gujarati,2010 Hebrew,2010 Herero,2010 Hindi,2010 Hungarian,2010 Icelandic,2010 Igbo,2010 Italian,2010 Japanese,2010 Kannada,2010 Katchi,2010 Kinyarwanda,2010 Korean,2010 Kurdish,2010 Latvian,2010 Lithuanian,2010 Luganda,2010 Malay/Indonesian,2010 Malayalam,2010 Manding/Malinke,2010 Marathi,2010 Ndebele,2010 Nepali,2010 Norwegian,2010 Other Language,2010 Other than English,2010 Pahari (Pakistan),2010 Panjabi,2010 Pashto/Pakhto,2010 Persian/Farsi,2010 Polish,2010 Portuguese,2010 Refused,2010 Romanian,2010 Romany/English Romanes,2010 Russian,2010 Scots,2010 Serbian/Croatian/Bosnian,2010 Shona,2010 Sinhala,2010 Slovak,2010 Spanish,2010 Swahili/Kiswahili,2010 Swedish,2010 Tagalog/Filipino,2010 Tamil,2010 Telugu,2010 Thai,2010 Tsonga,2010 Tswana/Setswana,2010 Turkish,2010 Urdu,2010 Vietnamese,2010 Wolof,2010 Yoruba,2010 Zulu
1000,Atherstone Early Years Centre,North Warwickshire,North Warwickshire,Nursery,Nursery,0,0,0,0,99,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,Bedworth Early Years Centre and Nursery,Nuneaton and Bedworth,Nuneaton & Bedworth,Nursery,Nursery,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,Bedworth Heath Nursery School and Children's Centre,Nuneaton and Bedworth,Nuneaton & Bedworth,Nursery,Nursery,0,0,10,0,90,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,Whitnash Nursery School,Warwick,Central,Nursery,Nursery,8,3,0,0,74,0,0,16,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,Kenilworth Children's Centre and Nursery School,Warwick,Central,Nursery,Nursery,0,1,1,0,96,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,Warwick Children's Centre & Nursery School,Warwick,Central,Nursery,Nursery,7,0,3,0,89,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,Stockingford Early Years Centre,Nuneaton and Bedworth,Nuneaton & Bedworth,Nursery,Nursery,1,0,0,0,97,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Nursery Hill Primary School,North Warwickshire,North Warwickshire,Primary,Primary,1,0,0,0,97,0,0,1,0,0,0,0,0,1,0,0,0,98,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Gun Hill Infant School,North Warwickshire,North Warwickshire,Infant,Primary,0,0,2,0,94,0,0,5,0,0,0,0,0,0,0,1,0,95,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2004,Arden Hill Infant School,North Warwickshire,North Warwickshire,Infant,Primary,2,0,0,0,98,0,0,1,0,0,0,0,0,13,0,0,0,84,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Bishops Itchington Primary School,Stratford on Avon,Central,Primary,Primary,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Claverdon Primary School,Stratford on Avon,Southern,Primary,Primary,0,1,0,0,99,0,0,0,0,0,0,0,0,0,1,0,0,98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Dordon Community Primary School,North Warwickshire,North Warwickshire,Primary,Primary,0,1,0,0,99,0,0,0,0,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Wheelwright Lane Primary School,Nuneaton and Bedworth,Nuneaton & Bedworth,Primary,Primary,0,1,4,0,91,0,0,4,0,0,0,0,0,0,2,5,0,90,0,0,3,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2024,Great Alne Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,Michael Drayton Junior School,North Warwickshire,North Warwickshire,Junior,Primary,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,Nathaniel Newton Infant School,North Warwickshire,North Warwickshire,Infant,Primary,0,4,0,0,95,0,0,1,0,0,0,0,0,0,3,0,0,95,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,Henley-In-Arden Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,98,0,0,2,0,0,0,0,0,0,0,1,0,99,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2032,Hurley Primary School,North Warwickshire,North Warwickshire,Primary,Primary,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,Quinton Primary School,Stratford on Avon,Southern,Primary,Primary,0,2,2,0,90,0,0,6,0,0,0,0,0,0,11,1,0,85,0,0,3,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,Snitterfield Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,1,0,99,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,Stockton Primary School,Stratford on Avon,Central,Primary,Primary,14,0,0,0,84,0,0,2,0,0,0,0,0,0,0,0,0,98,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,Stratford-upon-Avon Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,1,0,97,0,0,1,0,0,0,0,0,14,0,1,0,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2052,Thomas Jolyffe Primary School,Stratford on Avon,Southern,Primary,Primary,1,1,2,0,90,0,0,7,0,0,0,0,0,0,1,2,0,91,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,Bridge Town Primary School,Stratford on Avon,Southern,Primary,Primary,0,3,2,0,93,0,0,2,0,0,0,0,0,0,3,1,0,94,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,Studley Infant School,Stratford on Avon,Southern,Infant,Primary,0,0,7,0,93,0,0,0,0,0,0,0,0,0,0,5,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,Welford-On-Avon Primary School,Stratford on Avon,Southern,Primary,Primary,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,Wood End Primary School,North Warwickshire,North Warwickshire,Primary,Primary,1,1,0,0,98,0,0,0,0,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,Lighthorne Heath Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,98,0,0,2,0,0,0,0,0,0,0,0,0,97,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2103,Chilvers Coton Community Infant School,Nuneaton and Bedworth,Nuneaton & Bedworth,Infant,Primary,0,0,0,0,21,0,0,79,0,0,0,0,0,0,0,0,0,24,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2107,Galley Common Infant School,Nuneaton and Bedworth,Nuneaton & Bedworth,Infant,Primary,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2120,Stockingford Junior School,Nuneaton and Bedworth,Nuneaton & Bedworth,Junior,Primary,0,1,0,0,98,0,0,1,0,0,0,0,0,0,0,0,0,98,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2121,Stockingford Infant School,Nuneaton and Bedworth,Nuneaton & Bedworth,Infant,Primary,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0,97,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2123,Whitestone Infant School,Nuneaton and Bedworth,Nuneaton & Bedworth,Infant,Primary,0,1,5,0,92,0,0,1,0,0,0,0,0,0,1,7,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2307,Thorns Community Infant School,Warwick,Central,Infant,Primary,0,0,1,0,95,0,0,4,0,0,0,0,0,0,0,0,0,92,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2308,Clinton Primary School,Warwick,Central,Primary,Primary,1,0,0,0,97,0,0,3,0,0,0,0,0,0,0,0,0,97,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2309,Park Hill Junior School,Warwick,Central,Junior,Primary,0,0,4,0,96,0,0,0,0,0,0,0,0,0,0,5,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2312,Clapham Terrace Community Primary School,Warwick,Central,Primary,Primary,0,2,5,0,78,0,0,16,0,0,0,0,0,0,1,4,0,79,0,0,15,0,0,0,0,2,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2315,Telford Junior School,Warwick,Central,Junior,Primary,0,1,1,0,90,0,0,8,0,0,0,0,0,0,1,1,0,91,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2322,Westgate Primary School,Warwick,Central,Primary,Primary,1,1,0,0,92,0,0,7,0,0,0,0,0,0,2,2,0,93,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,87,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
2324,Whitnash Primary School,Warwick,Central,Primary,Primary,0,0,0,0,82,0,0,18,0,0,0,0,0,1,0,1,0,81,0,0,17,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2325,Newburgh Primary School,Warwick,Central,Primary,Primary,0,0,1,0,94,0,0,6,0,0,0,0,0,0,0,1,0,92,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,0,0,0,0
2326,Telford Infant School,Warwick,Central,Infant,Primary,1,1,8,0,89,0,0,2,0,0,0,0,0,0,2,8,0,89,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2327,Briar Hill Infant School,Warwick,Central,Infant,Primary,0,2,8,0,76,0,0,14,0,0,0,0,0,0,2,10,0,74,0,0,13,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
